case_uid,geometry_id,logo_fold,split
G01_R0001,G01,holdout_G01,test
G01_R0002,G01,holdout_G01,test
G01_R0003,G01,holdout_G01,test
G01_R0004,G01,holdout_G01,test
G01_R0005,G01,holdout_G01,test
G01_R0006,G01,holdout_G01,test
G01_R0007,G01,holdout_G01,test
G01_R0008,G01,holdout_G01,test
G01_R0009,G01,holdout_G01,test
G01_R0010,G01,holdout_G01,test
G01_R0011,G01,holdout_G01,test
G01_R0012,G01,holdout_G01,test
G01_R0013,G01,holdout_G01,test
G01_R0014,G01,holdout_G01,test
G01_R0015,G01,holdout_G01,test
G01_R0016,G01,holdout_G01,test
G01_R0017,G01,holdout_G01,test
G01_R0018,G01,holdout_G01,test
G01_R0019,G01,holdout_G01,test
G01_R0020,G01,holdout_G01,test
G01_R0021,G01,holdout_G01,test
G01_R0022,G01,holdout_G01,test
G01_R0023,G01,holdout_G01,test
G01_R0024,G01,holdout_G01,test
G01_R0025,G01,holdout_G01,test
G01_R0026,G01,holdout_G01,test
G01_R0027,G01,holdout_G01,test
G01_R0028,G01,holdout_G01,test
G01_R0029,G01,holdout_G01,test
G01_R0030,G01,holdout_G01,test
G01_R0031,G01,holdout_G01,test
G01_R0032,G01,holdout_G01,test
G01_R0033,G01,holdout_G01,test
G01_R0034,G01,holdout_G01,test
G01_R0035,G01,holdout_G01,test
G01_R0036,G01,holdout_G01,test
G01_R0037,G01,holdout_G01,test
G01_R0038,G01,holdout_G01,test
G01_R0039,G01,holdout_G01,test
G01_R0040,G01,holdout_G01,test
G01_R0041,G01,holdout_G01,test
G01_R0042,G01,holdout_G01,test
G01_R0043,G01,holdout_G01,test
G01_R0044,G01,holdout_G01,test
G01_R0045,G01,holdout_G01,test
G01_R0046,G01,holdout_G01,test
G01_R0047,G01,holdout_G01,test
G01_R0048,G01,holdout_G01,test
G01_R0049,G01,holdout_G01,test
G01_R0050,G01,holdout_G01,test
G01_R0051,G01,holdout_G01,test
G01_R0052,G01,holdout_G01,test
G01_R0053,G01,holdout_G01,test
G01_R0054,G01,holdout_G01,test
G01_R0055,G01,holdout_G01,test
G01_R0056,G01,holdout_G01,test
G01_R0057,G01,holdout_G01,test
G01_R0058,G01,holdout_G01,test
G01_R0059,G01,holdout_G01,test
G01_R0060,G01,holdout_G01,test
G01_R0061,G01,holdout_G01,test
G01_R0062,G01,holdout_G01,test
G01_R0063,G01,holdout_G01,test
G01_R0064,G01,holdout_G01,test
G01_R0065,G01,holdout_G01,test
G01_R0066,G01,holdout_G01,test
G01_R0067,G01,holdout_G01,test
G01_R0068,G01,holdout_G01,test
G01_R0069,G01,holdout_G01,test
G01_R0070,G01,holdout_G01,test
G01_R0071,G01,holdout_G01,test
G01_R0072,G01,holdout_G01,test
G01_R0073,G01,holdout_G01,test
G01_R0074,G01,holdout_G01,test
