case_uid,split
G01_R0001,train
G01_R0002,train
G01_R0003,train
G01_R0004,train
G01_R0005,train
G01_R0006,train
G01_R0007,train
G01_R0008,train
G01_R0009,test
G01_R0010,train
G01_R0011,train
G01_R0012,train
G01_R0013,test
G01_R0014,train
G01_R0015,test
G01_R0016,train
G01_R0017,train
G01_R0018,test
G01_R0019,train
G01_R0020,test
G01_R0021,train
G01_R0022,train
G01_R0023,train
G01_R0024,test
G01_R0025,train
G01_R0026,train
G01_R0027,test
G01_R0028,train
G01_R0029,train
G01_R0030,test
G01_R0031,train
G01_R0032,train
G01_R0033,train
G01_R0034,test
G01_R0035,train
G01_R0036,train
G01_R0037,train
G01_R0038,train
G01_R0039,train
G01_R0040,train
G01_R0041,train
G01_R0042,train
G01_R0043,train
G01_R0044,test
G01_R0045,train
G01_R0046,test
G01_R0047,train
G01_R0048,train
G01_R0049,train
G01_R0050,train
G01_R0051,train
G01_R0052,test
G01_R0053,train
G01_R0054,train
G01_R0055,train
G01_R0056,train
G01_R0057,train
G01_R0058,train
G01_R0059,train
G01_R0060,train
G01_R0061,train
G01_R0062,test
G01_R0063,train
G01_R0064,train
G01_R0065,train
G01_R0066,train
G01_R0067,train
G01_R0068,train
G01_R0069,train
G01_R0070,test
G01_R0071,test
G01_R0072,train
G01_R0073,train
G01_R0074,test
G01_R0075,train
G01_R0076,train
G01_R0077,train
G01_R0078,train
G01_R0079,train
G01_R0080,test
G01_R0081,test
G01_R0082,train
G01_R0083,train
G01_R0084,train
G01_R0085,test
G01_R0086,train
G01_R0087,train
G01_R0088,train
G01_R0089,train
G01_R0090,train
G01_R0091,test
G01_R0092,train
G01_R0093,train
G01_R0094,test
G01_R0095,train
G01_R0096,test
G01_R0097,test
G01_R0098,train
G01_R0099,train
G01_R0100,test
G01_R0101,test
G01_R0102,train
G01_R0103,train
G01_R0104,train
G01_R0105,train
G01_R0106,train
G01_R0107,train
G01_R0108,train
G01_R0109,train
G01_R0110,test
G01_R0111,train
G01_R0112,test
G01_R0113,train
G01_R0114,test
G01_R0115,train
G01_R0116,train
G01_R0117,train
G01_R0118,train
G01_R0119,train
G01_R0120,train
G01_R0121,test
G01_R0122,train
G01_R0123,test
G01_R0124,train
G01_R0125,train
G01_R0126,train
G01_R0127,train
G01_R0128,train
G01_R0129,train
G01_R0130,train
G01_R0131,train
G01_R0132,train
G01_R0133,test
G01_R0134,train
G01_R0135,test
G01_R0136,test
G01_R0137,train
G01_R0138,train
G01_R0139,train
G01_R0140,test
G01_R0141,train
G01_R0142,train
G01_R0143,train
G01_R0144,train
G01_R0145,test
G01_R0146,train
G01_R0147,train
G01_R0148,train
G01_R0149,train
G01_R0150,test
G01_R0151,test
G01_R0152,test
G01_R0153,test
G01_R0154,train
G01_R0155,train
G01_R0156,train
G01_R0157,train
G01_R0158,test
G01_R0159,train
G01_R0160,train
G01_R0161,train
G01_R0162,train
G01_R0163,train
G01_R0164,train
G01_R0165,train
G01_R0166,train
G01_R0167,test
G01_R0168,train
G01_R0169,test
G01_R0170,train
G01_R0171,train
G01_R0172,train
G01_R0173,train
G01_R0174,train
G01_R0175,train
G01_R0176,test
G01_R0177,train
G01_R0178,test
G01_R0179,train
G01_R0180,test
G01_R0181,test
G01_R0182,train
G01_R0183,train
G01_R0184,train
G01_R0185,test
G01_R0186,train
G01_R0187,train
G01_R0188,train
G01_R0189,test
G01_R0190,train
G01_R0191,train
G01_R0192,test
G01_R0193,test
G01_R0194,train
G01_R0195,train
G01_R0196,train
G01_R0197,test
G01_R0198,train
G01_R0199,train
G01_R0200,test
G01_R0201,train
G01_R0202,train
G01_R0203,train
