case_uid,Re,fold_name,split
G01_R0001,25,holdout_Re25,test
G01_R0002,25,holdout_Re25,test
G01_R0003,25,holdout_Re25,test
G01_R0004,25,holdout_Re25,test
G01_R0005,25,holdout_Re25,test
G01_R0006,25,holdout_Re25,test
G01_R0007,25,holdout_Re25,test
G01_R0008,25,holdout_Re25,test
G01_R0009,25,holdout_Re25,test
G01_R0010,25,holdout_Re25,test
G01_R0011,25,holdout_Re25,test
G01_R0012,25,holdout_Re25,test
G01_R0013,25,holdout_Re25,test
G01_R0014,25,holdout_Re25,test
G01_R0015,25,holdout_Re25,test
G01_R0016,25,holdout_Re25,test
G01_R0017,25,holdout_Re25,test
G01_R0018,25,holdout_Re25,test
G01_R0019,25,holdout_Re25,test
G01_R0020,25,holdout_Re25,test
G01_R0021,25,holdout_Re25,test
G01_R0022,25,holdout_Re25,test
G01_R0023,25,holdout_Re25,test
G01_R0024,25,holdout_Re25,test
G01_R0025,25,holdout_Re25,test
G01_R0026,25,holdout_Re25,test
G01_R0027,25,holdout_Re25,test
G01_R0028,25,holdout_Re25,test
G01_R0029,25,holdout_Re25,test
G01_R0030,25,holdout_Re25,test
G01_R0031,25,holdout_Re25,test
G01_R0032,25,holdout_Re25,test
G01_R0033,25,holdout_Re25,test
G01_R0034,25,holdout_Re25,test
G01_R0035,25,holdout_Re25,test
G01_R0036,25,holdout_Re25,test
G01_R0037,25,holdout_Re25,test
G01_R0038,25,holdout_Re25,test
G01_R0039,25,holdout_Re25,test
G01_R0040,25,holdout_Re25,test
G01_R0041,25,holdout_Re25,test
G01_R0042,25,holdout_Re25,test
G01_R0043,25,holdout_Re25,test
G01_R0044,25,holdout_Re25,test
G01_R0045,25,holdout_Re25,test
G01_R0046,25,holdout_Re25,test
G01_R0047,25,holdout_Re25,test
G01_R0048,25,holdout_Re25,test
G01_R0049,25,holdout_Re25,test
G01_R0050,25,holdout_Re25,test
G01_R0051,25,holdout_Re25,test
G01_R0052,25,holdout_Re25,test
G01_R0053,25,holdout_Re25,test
G01_R0054,25,holdout_Re25,test
G01_R0055,25,holdout_Re25,test
G01_R0056,25,holdout_Re25,test
G01_R0057,25,holdout_Re25,test
G01_R0058,25,holdout_Re25,test
G01_R0059,25,holdout_Re25,test
G01_R0060,25,holdout_Re25,test
G01_R0061,25,holdout_Re25,test
G01_R0062,25,holdout_Re25,test
G01_R0063,25,holdout_Re25,test
G01_R0064,25,holdout_Re25,test
G01_R0065,25,holdout_Re25,test
G01_R0066,25,holdout_Re25,test
G01_R0067,25,holdout_Re25,test
G01_R0068,25,holdout_Re25,test
G01_R0069,25,holdout_Re25,test
G01_R0070,25,holdout_Re25,test
G01_R0071,25,holdout_Re25,test
G01_R0072,25,holdout_Re25,test
G01_R0073,25,holdout_Re25,test
G01_R0074,25,holdout_Re25,test
G01_R0075,25,holdout_Re25,test
G01_R0076,25,holdout_Re25,test
G01_R0077,25,holdout_Re25,test
G01_R0078,25,holdout_Re25,test
G01_R0079,25,holdout_Re25,test
G01_R0080,25,holdout_Re25,test
G01_R0081,25,holdout_Re25,test
G01_R0082,25,holdout_Re25,test
G01_R0083,25,holdout_Re25,test
G01_R0084,25,holdout_Re25,test
G01_R0085,25,holdout_Re25,test
G01_R0086,25,holdout_Re25,test
G01_R0087,25,holdout_Re25,test
G01_R0088,25,holdout_Re25,test
G01_R0089,25,holdout_Re25,test
G01_R0090,25,holdout_Re25,test
G01_R0091,25,holdout_Re25,test
G01_R0092,25,holdout_Re25,test
G01_R0093,25,holdout_Re25,test
G01_R0094,25,holdout_Re25,test
G01_R0095,25,holdout_Re25,test
G01_R0096,25,holdout_Re25,test
G01_R0097,25,holdout_Re25,test
G01_R0098,25,holdout_Re25,test
G01_R0099,25,holdout_Re25,test
G01_R0100,25,holdout_Re25,test
G01_R0101,25,holdout_Re25,test
G01_R0102,25,holdout_Re25,test
G01_R0103,25,holdout_Re25,test
G01_R0104,25,holdout_Re25,test
G01_R0105,25,holdout_Re25,test
G01_R0106,25,holdout_Re25,test
G01_R0107,25,holdout_Re25,test
G01_R0108,25,holdout_Re25,test
G01_R0109,25,holdout_Re25,test
G01_R0110,25,holdout_Re25,test
G01_R0111,25,holdout_Re25,test
G01_R0112,25,holdout_Re25,test
G01_R0113,25,holdout_Re25,test
G01_R0114,25,holdout_Re25,test
G01_R0115,25,holdout_Re25,test
G01_R0116,25,holdout_Re25,test
G01_R0117,25,holdout_Re25,test
G01_R0118,25,holdout_Re25,test
G01_R0119,25,holdout_Re25,test
G01_R0120,25,holdout_Re25,test
G01_R0121,25,holdout_Re25,test
G01_R0122,25,holdout_Re25,test
G01_R0123,25,holdout_Re25,test
G01_R0124,25,holdout_Re25,test
G01_R0125,25,holdout_Re25,test
G01_R0126,25,holdout_Re25,test
G01_R0127,25,holdout_Re25,test
G01_R0128,25,holdout_Re25,test
G01_R0129,25,holdout_Re25,test
G01_R0130,25,holdout_Re25,test
G01_R0131,25,holdout_Re25,test
G01_R0132,25,holdout_Re25,test
G01_R0133,25,holdout_Re25,test
G01_R0134,25,holdout_Re25,test
G01_R0135,25,holdout_Re25,test
G01_R0136,25,holdout_Re25,test
G01_R0137,25,holdout_Re25,test
G01_R0138,25,holdout_Re25,test
G01_R0139,25,holdout_Re25,test
G01_R0140,25,holdout_Re25,test
G01_R0141,25,holdout_Re25,test
G01_R0142,25,holdout_Re25,test
G01_R0143,25,holdout_Re25,test
G01_R0144,25,holdout_Re25,test
G01_R0145,25,holdout_Re25,test
G01_R0146,25,holdout_Re25,test
G01_R0147,25,holdout_Re25,test
G01_R0148,25,holdout_Re25,test
G01_R0149,25,holdout_Re25,test
G01_R0150,25,holdout_Re25,test
G01_R0151,25,holdout_Re25,test
G01_R0152,25,holdout_Re25,test
G01_R0153,25,holdout_Re25,test
G01_R0154,25,holdout_Re25,test
G01_R0155,25,holdout_Re25,test
G01_R0156,25,holdout_Re25,test
G01_R0157,25,holdout_Re25,test
G01_R0158,25,holdout_Re25,test
G01_R0159,25,holdout_Re25,test
G01_R0160,25,holdout_Re25,test
G01_R0161,25,holdout_Re25,test
G01_R0162,25,holdout_Re25,test
G01_R0163,25,holdout_Re25,test
G01_R0164,25,holdout_Re25,test
G01_R0165,25,holdout_Re25,test
G01_R0166,25,holdout_Re25,test
G01_R0167,25,holdout_Re25,test
G01_R0168,25,holdout_Re25,test
G01_R0169,25,holdout_Re25,test
G01_R0170,25,holdout_Re25,test
G01_R0171,25,holdout_Re25,test
G01_R0172,25,holdout_Re25,test
G01_R0173,25,holdout_Re25,test
G01_R0174,25,holdout_Re25,test
G01_R0175,25,holdout_Re25,test
G01_R0176,25,holdout_Re25,test
G01_R0177,25,holdout_Re25,test
G01_R0178,25,holdout_Re25,test
G01_R0179,25,holdout_Re25,test
G01_R0180,25,holdout_Re25,test
