case_uid,geometry_id,protocol,fold_name,heldout_geometry,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value
G01_R0001,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.1,0.0,0.0,3.5391007,3.646156754628773
G01_R0002,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.2,0.0,0.0,4.931962,5.133821677082742
G01_R0003,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.3,0.0,0.0,6.9917847,7.355082789022253
G01_R0004,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.1,0.0,0.0,3.5506918,3.658236591421842
G01_R0005,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.2,0.0,0.0,4.9540439,5.157385101075218
G01_R0006,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.3,0.0,0.0,7.0272847,7.393340319545588
G01_R0007,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.1,0.0,0.0,3.5627573,3.670964713016041
G01_R0008,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.2,0.0,0.0,4.9773848,5.182053242094553
G01_R0009,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.3,0.0,0.0,7.0650341,7.434990531673276
G01_R0010,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.1,0.0,0.0,3.575394,3.684595611433304
G01_R0011,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.2,0.0,0.0,5.0019789,5.208370167582222
G01_R0012,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.477676644808244
G01_R0013,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.1,0.0,0.0,4.437649,4.592466959943243
G01_R0014,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.2,0.0,0.0,6.7143536,7.005995069736974
G01_R0015,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.3,0.0,0.0,10.326261,10.881411688339185
G01_R0016,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.600576700810687
G01_R0017,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,7.020880483273054
G01_R0018,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.3,0.0,0.0,10.355907,10.907266851488048
G01_R0019,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.61186753058733
G01_R0020,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.2,0.0,0.0,6.7501525,7.04084357668375
G01_R0021,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.3,0.0,0.0,10.387515,10.94143775730668
G01_R0022,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.621630980403333
G01_R0023,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,7.061241303150898
G01_R0024,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.3,0.0,0.0,10.422079,10.97741967284086
G01_R0025,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.869852308739565
G01_R0026,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.2,0.0,0.0,14.034764,14.384572468651664
G01_R0027,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.3,0.0,0.0,25.849678,26.507761578674103
G01_R0028,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.879137905643861
G01_R0029,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.2,0.0,0.0,14.060641,14.409099777030637
G01_R0030,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.3,0.0,0.0,25.895523,26.54578344133412
G01_R0031,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.892451395373887
G01_R0032,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.2,0.0,0.0,14.089505,14.44018078919188
G01_R0033,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.3,0.0,0.0,25.947354,26.59837204572191
G01_R0034,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.1,0.0,0.0,6.711645,6.905767896006218
G01_R0035,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.2,0.0,0.0,14.122356,14.472457859830438
G01_R0036,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.3,0.0,0.0,26.007168,26.65701951643621
G01_R0037,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.1,0.0,0.0,24.410804,24.714444758440877
G01_R0038,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.2,0.0,0.0,78.946158,79.43510881710469
G01_R0039,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,169.3408220919635
G01_R0040,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.1,0.0,0.0,24.455769,24.76375168936588
G01_R0041,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.2,0.0,0.0,79.044114,79.53430233815176
G01_R0042,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,169.50738582781642
G01_R0043,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.1,0.0,0.0,24.504731,24.81924779790216
G01_R0044,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.64797405654784
G01_R0045,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,169.70245977231735
G01_R0046,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.1,0.0,0.0,24.55769,24.879078918258823
G01_R0047,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.77372807052032
G01_R0048,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.90981548499062
G01_R0049,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.1,0.0,0.0,3.5391007,3.64612257868294
G01_R0050,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.2,0.0,0.0,4.931962,5.133906098830364
G01_R0051,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.3,0.0,0.0,6.9917847,7.355153602280589
G01_R0052,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.1,0.0,0.0,3.5506918,3.658254745667675
G01_R0053,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.2,0.0,0.0,4.9540439,5.1573724888377175
G01_R0054,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.3,0.0,0.0,7.0272847,7.393402830128922
G01_R0055,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.1,0.0,0.0,3.5627573,3.670993731043125
G01_R0056,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.2,0.0,0.0,4.9773848,5.182075617751099
G01_R0057,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.3,0.0,0.0,7.0650341,7.434962285197083
G01_R0058,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.1,0.0,0.0,3.575394,3.684552029433304
G01_R0059,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.2,0.0,0.0,5.0019789,5.208437093842937
G01_R0060,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.477624420695744
G01_R0061,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.1,0.0,0.0,4.437649,4.592482581901576
G01_R0062,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.2,0.0,0.0,6.7143536,7.006071783187869
G01_R0063,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.3,0.0,0.0,10.326261,10.88166188075585
G01_R0064,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.600545719527351
G01_R0065,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,7.02095028187127
G01_R0066,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.3,0.0,0.0,10.355907,10.907479560529714
G01_R0067,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.611795197720663
G01_R0068,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.2,0.0,0.0,6.7501525,7.040851156459047
G01_R0069,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.3,0.0,0.0,10.387515,10.941543896556682
G01_R0070,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.621617255559583
G01_R0071,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,7.061254823645689
G01_R0072,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.3,0.0,0.0,10.422079,10.977191304406336
G01_R0073,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.869825026802066
G01_R0074,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.2,0.0,0.0,14.034764,14.384641810505832
G01_R0075,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.3,0.0,0.0,25.849678,26.507751008403257
G01_R0076,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.8791121624563605
G01_R0077,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.2,0.0,0.0,14.060641,14.409149563578254
G01_R0078,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.3,0.0,0.0,25.895523,26.545934917628752
