case_uid,geometry_id,protocol,fold_name,heldout_geometry,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value
G01_R0001,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.1,0.0,0.0,6.7058,6.647003647893776
G01_R0002,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.2,0.0,0.0,7.2261,7.171100815106427
G01_R0003,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.3,0.0,0.0,7.8352,7.776402213690484
G01_R0004,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.1,0.0,0.0,6.7107,6.648030129639804
G01_R0005,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.2,0.0,0.0,7.233,7.172679881475473
G01_R0006,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.3,0.0,0.0,7.8432,7.780639510267869
G01_R0007,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.1,0.0,0.0,6.7158,6.650968624580279
G01_R0008,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.2,0.0,0.0,7.2402,7.176353929392133
G01_R0009,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.3,0.0,0.0,7.8515,7.789027079712291
G01_R0010,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.1,0.0,0.0,6.7212,6.652068760443373
G01_R0011,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.2,0.0,0.0,7.2478,7.177567986584594
G01_R0012,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.3,0.0,0.0,7.8605,7.793126902976179
G01_R0013,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.1,0.0,0.0,7.0146,6.954568669047637
G01_R0014,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.2,0.0,0.0,7.6278,7.575560925459946
G01_R0015,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.3,0.0,0.0,8.4242,8.385435157097756
G01_R0016,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.1,0.0,0.0,7.0175,6.954775546130974
G01_R0017,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.2,0.0,0.0,7.6314,7.576079716432172
G01_R0018,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.3,0.0,0.0,8.4287,8.3859254359668
G01_R0019,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.1,0.0,0.0,7.0204,6.956019694394858
G01_R0020,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.2,0.0,0.0,7.6351,7.57843110080717
G01_R0021,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.3,0.0,0.0,8.4333,8.38832791736563
G01_R0022,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.1,0.0,0.0,7.0235,6.956386589930573
G01_R0023,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.2,0.0,0.0,7.6389,7.579177365985742
G01_R0024,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.3,0.0,0.0,8.4382,8.38942283745492
G01_R0025,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.1,0.0,0.0,7.0987,7.038185535822498
G01_R0026,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.2,0.0,0.0,7.7415,7.68869687132938
G01_R0027,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.3,0.0,0.0,8.5874,8.548579469841261
G01_R0028,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.1,0.0,0.0,7.0997,7.0381124495129725
G01_R0029,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.2,0.0,0.0,7.7428,7.6888636157242205
G01_R0030,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.3,0.0,0.0,8.589,8.548627260466262
G01_R0031,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.1,0.0,0.0,7.1008,7.038627891477275
G01_R0032,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.2,0.0,0.0,7.7441,7.68972938710319
G01_R0033,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.3,0.0,0.0,8.5907,8.549297536755953
G01_R0034,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.1,0.0,0.0,7.1019,7.038813195941561
G01_R0035,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.2,0.0,0.0,7.7455,7.69007428293652
G01_R0036,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.3,0.0,0.0,8.5925,8.54961117842262
G01_R0037,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.1,0.0,0.0,7.1248,7.062956549156753
G01_R0038,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.2,0.0,0.0,7.7759,7.723111872111577
G01_R0039,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.3,0.0,0.0,8.6348,8.594850619146815
G01_R0040,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.1,0.0,0.0,7.125,7.062637396329376
G01_R0041,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.2,0.0,0.0,7.7762,7.7229184202266525
G01_R0042,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.3,0.0,0.0,8.6351,8.594934058730148
G01_R0043,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.1,0.0,0.0,7.1253,7.0626944937500165
G01_R0044,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.2,0.0,0.0,7.7765,7.723167460702838
G01_R0045,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.3,0.0,0.0,8.6355,8.59516532212301
G01_R0046,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.1,0.0,0.0,7.1256,7.063042771726206
G01_R0047,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.2,0.0,0.0,7.7769,7.723385704452834
G01_R0048,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.3,0.0,0.0,8.6359,8.595296417063487
G01_R0049,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.1,0.0,0.0,7.3903,7.324760376546719
G01_R0050,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.2,0.0,0.0,7.9617,7.900749455803578
G01_R0051,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.3,0.0,0.0,8.624,8.573867257972582
G01_R0052,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.1,0.0,0.0,7.3954,7.327449012594699
G01_R0053,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.2,0.0,0.0,7.9689,7.903851993105155
G01_R0054,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.3,0.0,0.0,8.6324,8.578868415561875
G01_R0055,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.1,0.0,0.0,7.4006,7.332598603368509
G01_R0056,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.2,0.0,0.0,7.9764,7.91288386458334
G01_R0057,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.3,0.0,0.0,8.6413,8.588746397208677
G01_R0058,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.1,0.0,0.0,7.4062,7.3352921210272495
G01_R0059,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.2,0.0,0.0,7.9844,7.91780363625993
G01_R0060,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.3,0.0,0.0,8.6508,8.594861152132914
G01_R0061,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.1,0.0,0.0,7.6993,7.635295235195717
G01_R0062,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.2,0.0,0.0,8.3581,8.305432965724215
G01_R0063,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.3,0.0,0.0,9.1968,9.15656228259379
G01_R0064,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.1,0.0,0.0,7.7022,7.635952152259214
G01_R0065,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.2,0.0,0.0,8.3617,8.306345956299618
G01_R0066,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.3,0.0,0.0,9.2014,9.15807081533188
G01_R0067,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.1,0.0,0.0,7.7052,7.637342230781025
G01_R0068,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.2,0.0,0.0,8.3654,8.309761985714301
G01_R0069,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.3,0.0,0.0,9.2061,9.162288691571948
G01_R0070,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.1,0.0,0.0,7.7083,7.637809725694442
G01_R0071,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.2,0.0,0.0,8.3694,8.311258921626997
G01_R0072,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.3,0.0,0.0,9.211,9.163821712554094
G01_R0073,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.1,0.0,0.0,7.7834,7.718619910072905
G01_R0074,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.2,0.0,0.0,8.4703,8.41638820634017
G01_R0075,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.3,0.0,0.0,9.3549,9.314706212152773
G01_R0076,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.1,0.0,0.0,7.7844,7.718609252186001
G01_R0077,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.2,0.0,0.0,8.4716,8.416447702768743
G01_R0078,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.3,0.0,0.0,9.3566,9.31472164131944
G01_R0079,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.1,0.0,0.0,7.7854,7.719012519051076
G01_R0080,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.2,0.0,0.0,8.4729,8.416959795080258
G01_R0081,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.3,0.0,0.0,9.3582,9.315526636259918
G01_R0082,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.1,0.0,0.0,7.7865,7.71923210491417
G01_R0083,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.2,0.0,0.0,8.4742,8.4171005645247
G01_R0084,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.3,0.0,0.0,9.36,9.31557366929563
G01_R0085,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.1,0.0,0.0,7.8095,7.744203093353187
G01_R0086,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.2,0.0,0.0,8.5044,8.449485275347222
G01_R0087,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.3,0.0,0.0,9.4011,9.35958782718255
G01_R0088,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.1,0.0,0.0,7.8097,7.744051263740089
G01_R0089,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.2,0.0,0.0,8.5046,8.449487782638887
G01_R0090,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.3,0.0,0.0,9.4015,9.359586900099211
G01_R0091,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.1,0.0,0.0,7.81,7.744091001686509
G01_R0092,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.2,0.0,0.0,8.5049,8.449555651091247
G01_R0093,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.3,0.0,0.0,9.4018,9.35970677450396
G01_R0094,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.1,0.0,0.0,7.8103,7.744232942906748
G01_R0095,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.2,0.0,0.0,8.5053,8.449533906746009
G01_R0096,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.3,0.0,0.0,9.4023,9.359750489831336
G01_R0097,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.1,0.0,0.0,9.6697,9.574120499851206
G01_R0098,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.2,0.0,0.0,10.35,10.258427949404764
G01_R0099,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.3,0.0,0.0,11.136,11.060111416350995
G01_R0100,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.1,0.0,0.0,9.6757,9.577568339484133
G01_R0101,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.2,0.0,0.0,10.358,10.264478129464283
G01_R0102,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.3,0.0,0.0,11.146,11.064133978896123
G01_R0103,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.1,0.0,0.0,9.6819,9.584174137549612
G01_R0104,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.2,0.0,0.0,10.367,10.275122445436514
G01_R0105,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.3,0.0,0.0,11.157,11.076394534947708
G01_R0106,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.1,0.0,0.0,9.6884,9.586439831944435
G01_R0107,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.2,0.0,0.0,10.376,10.280543260912715
G01_R0108,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.3,0.0,0.0,11.168,11.083619992108584
G01_R0109,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.1,0.0,0.0,10.021,9.926350089335298
G01_R0110,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.2,0.0,0.0,10.789,10.70546954513893
G01_R0111,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.3,0.0,0.0,11.753,11.68132274896282
G01_R0112,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.1,0.0,0.0,10.024,9.927236155109116
G01_R0113,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.2,0.0,0.0,10.793,10.706606662698446
