case_uid,geometry_id,protocol,fold_name,heldout_geometry,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,residual,abs_error
G01_R0001,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.1,0.0,0.0,3.5391007,3.646156754628773,0.1070560546287731,0.1070560546287731
G01_R0002,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.2,0.0,0.0,4.931962,5.133821677082742,0.2018596770827416,0.2018596770827416
G01_R0003,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.3,0.0,0.0,6.9917847,7.355082789022253,0.363298089022253,0.363298089022253
G01_R0004,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.1,0.0,0.0,3.5506918,3.658236591421842,0.1075447914218425,0.1075447914218425
G01_R0005,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.2,0.0,0.0,4.9540439,5.157385101075218,0.2033412010752178,0.2033412010752178
G01_R0006,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.3,0.0,0.0,7.0272847,7.393340319545588,0.3660556195455875,0.3660556195455875
G01_R0007,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.1,0.0,0.0,3.5627573,3.670964713016041,0.108207413016041,0.108207413016041
G01_R0008,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.2,0.0,0.0,4.9773848,5.182053242094553,0.2046684420945528,0.2046684420945528
G01_R0009,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.3,0.0,0.0,7.0650341,7.434990531673276,0.3699564316732759,0.3699564316732759
G01_R0010,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.1,0.0,0.0,3.575394,3.684595611433304,0.1092016114333032,0.1092016114333032
G01_R0011,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.2,0.0,0.0,5.0019789,5.208370167582222,0.2063912675822221,0.2063912675822221
G01_R0012,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.477676644808244,0.3723512448082431,0.3723512448082431
G01_R0013,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.1,0.0,0.0,4.437649,4.592466959943243,0.1548179599432426,0.1548179599432426
G01_R0014,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.2,0.0,0.0,6.7143536,7.005995069736974,0.291641469736974,0.291641469736974
G01_R0015,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.3,0.0,0.0,10.326261,10.881411688339185,0.5551506883391841,0.5551506883391841
G01_R0016,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.600576700810687,0.1535581008106872,0.1535581008106872
G01_R0017,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,7.020880483273054,0.2893121832730543,0.2893121832730543
G01_R0018,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.3,0.0,0.0,10.355907,10.907266851488048,0.5513598514880478,0.5513598514880478
G01_R0019,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.61186753058733,0.1549033305873299,0.1549033305873299
G01_R0020,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.2,0.0,0.0,6.7501525,7.04084357668375,0.2906910766837498,0.2906910766837498
G01_R0021,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.75,0.3,0.0,0.0,10.387515,10.94143775730668,0.5539227573066796,0.5539227573066796
G01_R0022,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.621630980403333,0.1541492804033337,0.1541492804033337
G01_R0023,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,7.061241303150898,0.2910403031508988,0.2910403031508988
G01_R0024,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.7,0.3,0.0,0.0,10.422079,10.97741967284086,0.5553406728408596,0.5553406728408596
G01_R0025,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.869852308739565,0.1956084087395648,0.1956084087395648
G01_R0026,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.2,0.0,0.0,14.034764,14.384572468651664,0.3498084686516662,0.3498084686516662
G01_R0027,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.85,0.3,0.0,0.0,25.849678,26.507761578674103,0.6580835786741019,0.6580835786741019
G01_R0028,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.879137905643861,0.1937841056438616,0.1937841056438616
G01_R0029,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.2,0.0,0.0,14.060641,14.409099777030637,0.3484587770306344,0.3484587770306344
G01_R0030,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.8,0.3,0.0,0.0,25.895523,26.54578344133412,0.6502604413341189,0.6502604413341189
G01_R0031,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.892451395373887,0.1946966953738869,0.1946966953738869
G01_R0032,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.2,0.0,0.0,14.089505,14.44018078919188,0.3506757891918788,0.3506757891918788
G01_R0033,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.75,0.3,0.0,0.0,25.947354,26.59837204572191,0.6510180457219086,0.6510180457219086
G01_R0034,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.1,0.0,0.0,6.711645,6.905767896006218,0.1941228960062178,0.1941228960062178
G01_R0035,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.2,0.0,0.0,14.122356,14.472457859830438,0.3501018598304384,0.3501018598304384
G01_R0036,G01,LOGO,holdout_G01,G01,25,3,1e-05,0.7,0.3,0.0,0.0,26.007168,26.65701951643621,0.6498515164362111,0.6498515164362111
G01_R0037,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.1,0.0,0.0,24.410804,24.714444758440877,0.3036407584408742,0.3036407584408742
G01_R0038,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.2,0.0,0.0,78.946158,79.43510881710469,0.4889508171046941,0.4889508171046941
G01_R0039,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,169.3408220919635,0.7494440919634826,0.7494440919634826
G01_R0040,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.1,0.0,0.0,24.455769,24.76375168936588,0.3079826893658755,0.3079826893658755
G01_R0041,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.2,0.0,0.0,79.044114,79.53430233815176,0.4901883381517677,0.4901883381517677
G01_R0042,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,169.50738582781642,0.7560638278164049,0.7560638278164049
G01_R0043,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.1,0.0,0.0,24.504731,24.81924779790216,0.3145167979021579,0.3145167979021579
G01_R0044,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.64797405654784,0.4949080565478283,0.4949080565478283
G01_R0045,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,169.70245977231735,0.7711987723173763,0.7711987723173763
G01_R0046,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.1,0.0,0.0,24.55769,24.879078918258823,0.3213889182588225,0.3213889182588225
G01_R0047,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.77372807052032,0.49871307052031,0.49871307052031
G01_R0048,G01,LOGO,holdout_G01,G01,25,3,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.90981548499062,0.7786194849905996,0.7786194849905996
G01_R0049,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.1,0.0,0.0,3.5391007,3.64612257868294,0.1070218786829397,0.1070218786829397
G01_R0050,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.2,0.0,0.0,4.931962,5.133906098830364,0.2019440988303635,0.2019440988303635
G01_R0051,G01,LOGO,holdout_G01,G01,25,6,0.001,0.85,0.3,0.0,0.0,6.9917847,7.355153602280589,0.3633689022805884,0.3633689022805884
G01_R0052,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.1,0.0,0.0,3.5506918,3.658254745667675,0.1075629456676749,0.1075629456676749
G01_R0053,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.2,0.0,0.0,4.9540439,5.1573724888377175,0.2033285888377172,0.2033285888377172
G01_R0054,G01,LOGO,holdout_G01,G01,25,6,0.001,0.8,0.3,0.0,0.0,7.0272847,7.393402830128922,0.366118130128922,0.366118130128922
G01_R0055,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.1,0.0,0.0,3.5627573,3.670993731043125,0.1082364310431254,0.1082364310431254
G01_R0056,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.2,0.0,0.0,4.9773848,5.182075617751099,0.2046908177510991,0.2046908177510991
G01_R0057,G01,LOGO,holdout_G01,G01,25,6,0.001,0.75,0.3,0.0,0.0,7.0650341,7.434962285197083,0.3699281851970832,0.3699281851970832
G01_R0058,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.1,0.0,0.0,3.575394,3.684552029433304,0.1091580294333032,0.1091580294333032
G01_R0059,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.2,0.0,0.0,5.0019789,5.208437093842937,0.2064581938429368,0.2064581938429368
G01_R0060,G01,LOGO,holdout_G01,G01,25,6,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.477624420695744,0.3722990206957428,0.3722990206957428
G01_R0061,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.1,0.0,0.0,4.437649,4.592482581901576,0.1548335819015758,0.1548335819015758
G01_R0062,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.2,0.0,0.0,6.7143536,7.006071783187869,0.2917181831878688,0.2917181831878688
G01_R0063,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.85,0.3,0.0,0.0,10.326261,10.88166188075585,0.5554008807558493,0.5554008807558493
G01_R0064,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.600545719527351,0.1535271195273511,0.1535271195273511
G01_R0065,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,7.02095028187127,0.289381981871271,0.289381981871271
G01_R0066,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.8,0.3,0.0,0.0,10.355907,10.907479560529714,0.5515725605297135,0.5515725605297135
G01_R0067,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.611795197720663,0.154830997720663,0.154830997720663
G01_R0068,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.2,0.0,0.0,6.7501525,7.040851156459047,0.2906986564590461,0.2906986564590461
G01_R0069,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.75,0.3,0.0,0.0,10.387515,10.941543896556682,0.554028896556682,0.554028896556682
G01_R0070,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.621617255559583,0.1541355555595833,0.1541355555595833
G01_R0071,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,7.061254823645689,0.2910538236456901,0.2910538236456901
G01_R0072,G01,LOGO,holdout_G01,G01,25,6,0.0001,0.7,0.3,0.0,0.0,10.422079,10.977191304406336,0.555112304406336,0.555112304406336
G01_R0073,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.869825026802066,0.1955811268020655,0.1955811268020655
G01_R0074,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.2,0.0,0.0,14.034764,14.384641810505832,0.3498778105058342,0.3498778105058342
G01_R0075,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.85,0.3,0.0,0.0,25.849678,26.507751008403257,0.6580730084032567,0.6580730084032567
G01_R0076,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.8791121624563605,0.1937583624563608,0.1937583624563608
G01_R0077,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.2,0.0,0.0,14.060641,14.409149563578254,0.3485085635782532,0.3485085635782532
G01_R0078,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.8,0.3,0.0,0.0,25.895523,26.545934917628752,0.6504119176287517,0.6504119176287517
G01_R0079,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.892406231320316,0.1946515313203161,0.1946515313203161
G01_R0080,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.2,0.0,0.0,14.089505,14.440092220191882,0.3505872201918816,0.3505872201918816
G01_R0081,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.75,0.3,0.0,0.0,25.947354,26.59802240837071,0.6506684083707093,0.6506684083707093
G01_R0082,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.1,0.0,0.0,6.711645,6.90572576581872,0.19408076581872,0.19408076581872
G01_R0083,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.2,0.0,0.0,14.122356,14.472495138580442,0.3501391385804417,0.3501391385804417
G01_R0084,G01,LOGO,holdout_G01,G01,25,6,1e-05,0.7,0.3,0.0,0.0,26.007168,26.65696024893621,0.6497922489362118,0.6497922489362118
G01_R0085,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.1,0.0,0.0,24.410804,24.71441357421169,0.3036095742116913,0.3036095742116913
G01_R0086,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.2,0.0,0.0,78.946158,79.43530483681894,0.4891468368189464,0.4891468368189464
G01_R0087,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,169.34094997894266,0.7495719789426403,0.7495719789426403
G01_R0088,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.1,0.0,0.0,24.455769,24.763695619365876,0.3079266193658725,0.3079266193658725
G01_R0089,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.2,0.0,0.0,79.044114,79.5344316269851,0.490317626985103,0.490317626985103
G01_R0090,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,169.5071736550248,0.7558516550247987,0.7558516550247987
G01_R0091,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.1,0.0,0.0,24.504731,24.81927762031288,0.3145466203128819,0.3145466203128819
G01_R0092,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.64812701886036,0.4950610188603548,0.4950610188603548
G01_R0093,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,169.702336104984,0.7710751049840212,0.7710751049840212
G01_R0094,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.1,0.0,0.0,24.55769,24.87891621459811,0.3212262145981093,0.3212262145981093
G01_R0095,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.77397140479117,0.4989564047911585,0.4989564047911585
G01_R0096,G01,LOGO,holdout_G01,G01,25,6,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.90975349265725,0.7785574926572281,0.7785574926572281
G01_R0097,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.1,0.0,0.0,3.5391007,3.646197455971828,0.1070967559718281,0.1070967559718281
G01_R0098,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.2,0.0,0.0,4.931962,5.133931446796789,0.2019694467967889,0.2019694467967889
G01_R0099,G01,LOGO,holdout_G01,G01,25,20,0.001,0.85,0.3,0.0,0.0,6.9917847,7.3553055330668995,0.3635208330668993,0.3635208330668993
G01_R0100,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.1,0.0,0.0,3.5506918,3.6582025193447594,0.1075107193447584,0.1075107193447584
G01_R0101,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.2,0.0,0.0,4.9540439,5.157422280159938,0.203378380159938,0.203378380159938
G01_R0102,G01,LOGO,holdout_G01,G01,25,20,0.001,0.8,0.3,0.0,0.0,7.0272847,7.393324922765827,0.366040222765827,0.366040222765827
G01_R0103,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.1,0.0,0.0,3.5627573,3.670900182531122,0.1081428825311219,0.1081428825311219
G01_R0104,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.2,0.0,0.0,4.9773848,5.1820863467908325,0.2047015467908322,0.2047015467908322
G01_R0105,G01,LOGO,holdout_G01,G01,25,20,0.001,0.75,0.3,0.0,0.0,7.0650341,7.43474888419113,0.3697147841911299,0.3697147841911299
G01_R0106,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.1,0.0,0.0,3.575394,3.684564208466636,0.1091702084666357,0.1091702084666357
G01_R0107,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.2,0.0,0.0,5.0019789,5.208505524769725,0.206526624769725,0.206526624769725
G01_R0108,G01,LOGO,holdout_G01,G01,25,20,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.47755923492908,0.3722338349290792,0.3722338349290792
G01_R0109,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.1,0.0,0.0,4.437649,4.592448146339078,0.1547991463390774,0.1547991463390774
G01_R0110,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.2,0.0,0.0,6.7143536,7.0061748632539365,0.2918212632539365,0.2918212632539365
G01_R0111,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.85,0.3,0.0,0.0,10.326261,10.881514700955254,0.5552537009552534,0.5552537009552534
G01_R0112,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.600531696485686,0.1535130964856863,0.1535130964856863
G01_R0113,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,7.021009710371264,0.289441410371265,0.289441410371265
G01_R0114,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.8,0.3,0.0,0.0,10.355907,10.907357030270786,0.5514500302707859,0.5514500302707859
G01_R0115,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.611876257671853,0.1549120576718534,0.1549120576718534
G01_R0116,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.2,0.0,0.0,6.7501525,7.040905031674225,0.290752531674225,0.290752531674225
G01_R0117,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.75,0.3,0.0,0.0,10.387515,10.941067953675727,0.5535529536757284,0.5535529536757284
G01_R0118,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.62171279752744,0.1542310975274405,0.1542310975274405
G01_R0119,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,7.061106085165631,0.2909050851656314,0.2909050851656314
G01_R0120,G01,LOGO,holdout_G01,G01,25,20,0.0001,0.7,0.3,0.0,0.0,10.422079,10.977109642635504,0.5550306426355043,0.5550306426355043
G01_R0121,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.869917756697901,0.1956738566979003,0.1956738566979003
G01_R0122,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.2,0.0,0.0,14.034764,14.384770769443332,0.3500067694433326,0.3500067694433326
G01_R0123,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.85,0.3,0.0,0.0,25.849678,26.50750867996872,0.6578306799687184,0.6578306799687184
G01_R0124,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.879251746935528,0.1938979469355279,0.1938979469355279
G01_R0125,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.2,0.0,0.0,14.060641,14.40936423910206,0.3487232391020605,0.3487232391020605
G01_R0126,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.8,0.3,0.0,0.0,25.895523,26.5456746734978,0.6501516734977955,0.6501516734977955
G01_R0127,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.892391773638768,0.1946370736387681,0.1946370736387681
G01_R0128,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.2,0.0,0.0,14.089505,14.440210780471638,0.3507057804716371,0.3507057804716371
G01_R0129,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.75,0.3,0.0,0.0,25.947354,26.598239281176262,0.6508852811762615,0.6508852811762615
G01_R0130,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.1,0.0,0.0,6.711645,6.9057809584675285,0.1941359584675286,0.1941359584675286
G01_R0131,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.2,0.0,0.0,14.122356,14.472563880580434,0.3502078805804345,0.3502078805804345
G01_R0132,G01,LOGO,holdout_G01,G01,25,20,1e-05,0.7,0.3,0.0,0.0,26.007168,26.65710103585288,0.6499330358528788,0.6499330358528788
G01_R0133,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.1,0.0,0.0,24.410804,24.714477768572788,0.3036737685727892,0.3036737685727892
G01_R0134,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.2,0.0,0.0,78.946158,79.43511572009275,0.4889577200927562,0.4889577200927562
G01_R0135,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,169.34117081748437,0.749792817484348,0.749792817484348
G01_R0136,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.1,0.0,0.0,24.455769,24.76377873468729,0.308009734687289,0.308009734687289
G01_R0137,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.2,0.0,0.0,79.044114,79.5344908120074,0.4903768120074119,0.4903768120074119
G01_R0138,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,169.5073020966558,0.7559800966557759,0.7559800966557759
G01_R0139,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.1,0.0,0.0,24.504731,24.819412312455725,0.3146813124557255,0.3146813124557255
G01_R0140,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.64801245008952,0.4949464500895146,0.4949464500895146
G01_R0141,G01,LOGO,holdout_G01,G01,25,20,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,169.7019340123799,0.7706730123798877,0.7706730123798877
