case_uid,geometry_id,protocol,fold_name,heldout_geometry,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,residual,abs_error
G01_R0001,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.1,0.0,0.0,6.7058,6.647003647893776,-0.0587963521062242,0.0587963521062242
G01_R0002,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.2,0.0,0.0,7.2261,7.171100815106427,-0.0549991848935729,0.0549991848935729
G01_R0003,G01,LOGO,holdout_G01,G01,25,3,0.001,0.85,0.3,0.0,0.0,7.8352,7.776402213690484,-0.0587977863095163,0.0587977863095163
G01_R0004,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.1,0.0,0.0,6.7107,6.648030129639804,-0.062669870360196,0.062669870360196
G01_R0005,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.2,0.0,0.0,7.233,7.172679881475473,-0.060320118524527,0.060320118524527
G01_R0006,G01,LOGO,holdout_G01,G01,25,3,0.001,0.8,0.3,0.0,0.0,7.8432,7.780639510267869,-0.0625604897321316,0.0625604897321316
G01_R0007,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.1,0.0,0.0,6.7158,6.650968624580279,-0.0648313754197209,0.0648313754197209
G01_R0008,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.2,0.0,0.0,7.2402,7.176353929392133,-0.0638460706078669,0.0638460706078669
G01_R0009,G01,LOGO,holdout_G01,G01,25,3,0.001,0.75,0.3,0.0,0.0,7.8515,7.789027079712291,-0.0624729202877087,0.0624729202877087
G01_R0010,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.1,0.0,0.0,6.7212,6.652068760443373,-0.0691312395566265,0.0691312395566265
G01_R0011,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.2,0.0,0.0,7.2478,7.177567986584594,-0.0702320134154055,0.0702320134154055
G01_R0012,G01,LOGO,holdout_G01,G01,25,3,0.001,0.7,0.3,0.0,0.0,7.8605,7.793126902976179,-0.0673730970238208,0.0673730970238208
G01_R0013,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.1,0.0,0.0,7.0146,6.954568669047637,-0.0600313309523627,0.0600313309523627
G01_R0014,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.2,0.0,0.0,7.6278,7.575560925459946,-0.0522390745400533,0.0522390745400533
G01_R0015,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.85,0.3,0.0,0.0,8.4242,8.385435157097756,-0.0387648429022444,0.0387648429022444
G01_R0016,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.1,0.0,0.0,7.0175,6.954775546130974,-0.0627244538690261,0.0627244538690261
G01_R0017,G01,LOGO,holdout_G01,G01,25,3,0.0001,0.8,0.2,0.0,0.0,7.6314,7.576079716432172,-0.0553202835678279,0.0553202835678279
