case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value
G01_R0001,G01,train,25,3,0.001,0.85,0.1,0.0,0.0,3.5391007,3.545918364791216
G01_R0002,G01,train,25,3,0.001,0.85,0.2,0.0,0.0,4.931962,4.935696566098741
G01_R0003,G01,train,25,3,0.001,0.85,0.3,0.0,0.0,6.9917847,6.999046481118107
G01_R0004,G01,train,25,3,0.001,0.8,0.1,0.0,0.0,3.5506918,3.5491029702953973
G01_R0005,G01,train,25,3,0.001,0.8,0.2,0.0,0.0,4.9540439,4.951768174507374
G01_R0006,G01,train,25,3,0.001,0.8,0.3,0.0,0.0,7.0272847,7.023178308134179
G01_R0007,G01,train,25,3,0.001,0.75,0.1,0.0,0.0,3.5627573,3.5643439388778337
G01_R0008,G01,train,25,3,0.001,0.75,0.2,0.0,0.0,4.9773848,4.9828937360156695
G01_R0009,G01,test,25,3,0.001,0.75,0.3,0.0,0.0,7.0650341,7.081768753985728
G01_R0010,G01,train,25,3,0.001,0.7,0.1,0.0,0.0,3.575394,3.5731461530013124
G01_R0011,G01,train,25,3,0.001,0.7,0.2,0.0,0.0,5.0019789,4.997541883753729
G01_R0012,G01,train,25,3,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.096479488398185
G01_R0013,G01,test,25,3,0.0001,0.85,0.1,0.0,0.0,4.437649,4.44056627164582
G01_R0014,G01,train,25,3,0.0001,0.85,0.2,0.0,0.0,6.7143536,6.728697652981055
G01_R0015,G01,test,25,3,0.0001,0.85,0.3,0.0,0.0,10.326261,10.336972809772227
G01_R0016,G01,train,25,3,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.445783503620819
G01_R0017,G01,train,25,3,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,6.728697652981055
G01_R0018,G01,test,25,3,0.0001,0.8,0.3,0.0,0.0,10.355907,10.352180977533578
G01_R0019,G01,train,25,3,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.458082355229446
G01_R0020,G01,test,25,3,0.0001,0.75,0.2,0.0,0.0,6.7501525,6.752953272849996
G01_R0021,G01,train,25,3,0.0001,0.75,0.3,0.0,0.0,10.387515,10.3911145401186
G01_R0022,G01,train,25,3,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.4645007838544295
G01_R0023,G01,train,25,3,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,6.759919291037233
G01_R0024,G01,test,25,3,0.0001,0.7,0.3,0.0,0.0,10.422079,10.412172271725632
G01_R0025,G01,train,25,3,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.6794846284863
G01_R0026,G01,train,25,3,1e-05,0.85,0.2,0.0,0.0,14.034764,14.04239966927006
G01_R0027,G01,test,25,3,1e-05,0.85,0.3,0.0,0.0,25.849678,25.87576805439624
G01_R0028,G01,train,25,3,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.683218108078994
G01_R0029,G01,train,25,3,1e-05,0.8,0.2,0.0,0.0,14.060641,14.05826935197097
G01_R0030,G01,test,25,3,1e-05,0.8,0.3,0.0,0.0,25.895523,25.8904115182176
G01_R0031,G01,train,25,3,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.699560428341638
G01_R0032,G01,train,25,3,1e-05,0.75,0.2,0.0,0.0,14.089505,14.102001741879672
G01_R0033,G01,train,25,3,1e-05,0.75,0.3,0.0,0.0,25.947354,25.959109755380283
G01_R0034,G01,test,25,3,1e-05,0.7,0.1,0.0,0.0,6.711645,6.70441108937499
G01_R0035,G01,train,25,3,1e-05,0.7,0.2,0.0,0.0,14.122356,14.114828359888314
G01_R0036,G01,train,25,3,1e-05,0.7,0.3,0.0,0.0,26.007168,25.990056346998905
G01_R0037,G01,train,25,3,1e-06,0.85,0.1,0.0,0.0,24.410804,24.450848579754364
G01_R0038,G01,train,25,3,1e-06,0.85,0.2,0.0,0.0,78.946158,78.96416059097265
G01_R0039,G01,train,25,3,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,168.64148178788145
G01_R0040,G01,train,25,3,1e-06,0.8,0.1,0.0,0.0,24.455769,24.45096348225437
G01_R0041,G01,train,25,3,1e-06,0.8,0.2,0.0,0.0,79.044114,79.0328229952049
G01_R0042,G01,train,25,3,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,168.7399762455595
G01_R0043,G01,train,25,3,1e-06,0.75,0.1,0.0,0.0,24.504731,24.50722775624026
G01_R0044,G01,test,25,3,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.20611736079337
G01_R0045,G01,train,25,3,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,168.96819789529397
G01_R0046,G01,test,25,3,1e-06,0.7,0.1,0.0,0.0,24.55769,24.52588909437405
G01_R0047,G01,train,25,3,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.24804424668622
G01_R0048,G01,train,25,3,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.02566616879085
