case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value
G01_R0001,G01,train,25,3,0.001,0.85,0.1,0.0,0.0,6.7058,6.706372563045635
G01_R0002,G01,train,25,3,0.001,0.85,0.2,0.0,0.0,7.2261,7.228038319146829
G01_R0003,G01,train,25,3,0.001,0.85,0.3,0.0,0.0,7.8352,7.828017187220432
G01_R0004,G01,train,25,3,0.001,0.8,0.1,0.0,0.0,6.7107,6.706327168105159
G01_R0005,G01,train,25,3,0.001,0.8,0.2,0.0,0.0,7.233,7.227941332539684
G01_R0006,G01,train,25,3,0.001,0.8,0.3,0.0,0.0,7.8432,7.831091494164873
G01_R0007,G01,train,25,3,0.001,0.75,0.1,0.0,0.0,6.7158,6.708628517757928
G01_R0008,G01,train,25,3,0.001,0.75,0.2,0.0,0.0,7.2402,7.231117819940477
G01_R0009,G01,test,25,3,0.001,0.75,0.3,0.0,0.0,7.8515,7.833553041188675
G01_R0010,G01,train,25,3,0.001,0.7,0.1,0.0,0.0,6.7212,6.709268009920626
G01_R0011,G01,train,25,3,0.001,0.7,0.2,0.0,0.0,7.2478,7.232011915178573
G01_R0012,G01,train,25,3,0.001,0.7,0.3,0.0,0.0,7.8605,7.834114005424786
G01_R0013,G01,test,25,3,0.0001,0.85,0.1,0.0,0.0,7.0146,7.003461969598814
G01_R0014,G01,train,25,3,0.0001,0.85,0.2,0.0,0.0,7.6278,7.616390797668666
G01_R0015,G01,test,25,3,0.0001,0.85,0.3,0.0,0.0,8.4242,8.388211286593624
G01_R0016,G01,train,25,3,0.0001,0.8,0.1,0.0,0.0,7.0175,7.004956394301194
G01_R0017,G01,train,25,3,0.0001,0.8,0.2,0.0,0.0,7.6314,7.617222808779778
G01_R0018,G01,test,25,3,0.0001,0.8,0.3,0.0,0.0,8.4287,8.391957741305923
G01_R0019,G01,train,25,3,0.0001,0.75,0.1,0.0,0.0,7.0204,7.007279437023056
G01_R0020,G01,test,25,3,0.0001,0.75,0.2,0.0,0.0,7.6351,7.618188185416682
G01_R0021,G01,train,25,3,0.0001,0.75,0.3,0.0,0.0,8.4333,8.401818217645214
G01_R0022,G01,train,25,3,0.0001,0.7,0.1,0.0,0.0,7.0235,7.007205021844486
G01_R0023,G01,train,25,3,0.0001,0.7,0.2,0.0,0.0,7.6389,7.621127868402802
G01_R0024,G01,test,25,3,0.0001,0.7,0.3,0.0,0.0,8.4382,8.400272157674983
G01_R0025,G01,train,25,3,1e-05,0.85,0.1,0.0,0.0,7.0987,7.104877435037882
G01_R0026,G01,train,25,3,1e-05,0.85,0.2,0.0,0.0,7.7415,7.737723990678424
G01_R0027,G01,test,25,3,1e-05,0.85,0.3,0.0,0.0,8.5874,8.567463435912689
G01_R0028,G01,train,25,3,1e-05,0.8,0.1,0.0,0.0,7.0997,7.1049481350378825
G01_R0029,G01,train,25,3,1e-05,0.8,0.2,0.0,0.0,7.7428,7.737356440331199
G01_R0030,G01,test,25,3,1e-05,0.8,0.3,0.0,0.0,8.589,8.56871577698413
G01_R0031,G01,train,25,3,1e-05,0.75,0.1,0.0,0.0,7.1008,7.104832899621212
G01_R0032,G01,train,25,3,1e-05,0.75,0.2,0.0,0.0,7.7441,7.737628835569297
G01_R0033,G01,train,25,3,1e-05,0.75,0.3,0.0,0.0,8.5907,8.577873758432542
G01_R0034,G01,test,25,3,1e-05,0.7,0.1,0.0,0.0,7.1019,7.104841176406927
G01_R0035,G01,train,25,3,1e-05,0.7,0.2,0.0,0.0,7.7455,7.738222653426442
G01_R0036,G01,train,25,3,1e-05,0.7,0.3,0.0,0.0,8.5925,8.579920397619048
G01_R0037,G01,train,25,3,1e-06,0.85,0.1,0.0,0.0,7.1248,7.1171372285714325
G01_R0038,G01,train,25,3,1e-06,0.85,0.2,0.0,0.0,7.7759,7.76506369568452
G01_R0039,G01,train,25,3,1e-06,0.85,0.3,0.0,0.0,8.6348,8.62982966537697
G01_R0040,G01,train,25,3,1e-06,0.8,0.1,0.0,0.0,7.125,7.1172221889881
G01_R0041,G01,train,25,3,1e-06,0.8,0.2,0.0,0.0,7.7762,7.763651277033722
G01_R0042,G01,train,25,3,1e-06,0.8,0.3,0.0,0.0,8.6351,8.629853049156734
G01_R0043,G01,train,25,3,1e-06,0.75,0.1,0.0,0.0,7.1253,7.11704026607143
G01_R0044,G01,test,25,3,1e-06,0.75,0.2,0.0,0.0,7.7765,7.764570567807528
G01_R0045,G01,train,25,3,1e-06,0.75,0.3,0.0,0.0,8.6355,8.630487972668636
G01_R0046,G01,test,25,3,1e-06,0.7,0.1,0.0,0.0,7.1256,7.117005397023811
G01_R0047,G01,train,25,3,1e-06,0.7,0.2,0.0,0.0,7.7769,7.76387965411705
G01_R0048,G01,train,25,3,1e-06,0.7,0.3,0.0,0.0,8.6359,8.630999667906726
G01_R0049,G01,train,25,6,0.001,0.85,0.1,0.0,0.0,7.3903,7.379410961656743
G01_R0050,G01,train,25,6,0.001,0.85,0.2,0.0,0.0,7.9617,7.961746706795618
G01_R0051,G01,train,25,6,0.001,0.85,0.3,0.0,0.0,8.624,8.624244374625738
G01_R0052,G01,test,25,6,0.001,0.8,0.1,0.0,0.0,7.3954,7.378422573164681
G01_R0053,G01,train,25,6,0.001,0.8,0.2,0.0,0.0,7.9689,7.962012141914665
G01_R0054,G01,train,25,6,0.001,0.8,0.3,0.0,0.0,8.6324,8.625059332959074
G01_R0055,G01,train,25,6,0.001,0.75,0.1,0.0,0.0,7.4006,7.381915705952378
G01_R0056,G01,train,25,6,0.001,0.75,0.2,0.0,0.0,7.9764,7.966463172073403
G01_R0057,G01,train,25,6,0.001,0.75,0.3,0.0,0.0,8.6413,8.631904173088023
G01_R0058,G01,train,25,6,0.001,0.7,0.1,0.0,0.0,7.4062,7.384141426835317
G01_R0059,G01,train,25,6,0.001,0.7,0.2,0.0,0.0,7.9844,7.968243918055549
G01_R0060,G01,train,25,6,0.001,0.7,0.3,0.0,0.0,8.6508,8.632697317978895
G01_R0061,G01,train,25,6,0.0001,0.85,0.1,0.0,0.0,7.6993,7.6878463675099376
G01_R0062,G01,test,25,6,0.0001,0.85,0.2,0.0,0.0,8.3581,8.337408228869055
G01_R0063,G01,train,25,6,0.0001,0.85,0.3,0.0,0.0,9.1968,9.198173439136912
G01_R0064,G01,train,25,6,0.0001,0.8,0.1,0.0,0.0,7.7022,7.688163679712312
G01_R0065,G01,train,25,6,0.0001,0.8,0.2,0.0,0.0,8.3617,8.338168709226196
G01_R0066,G01,train,25,6,0.0001,0.8,0.3,0.0,0.0,9.2014,9.19786430550596
G01_R0067,G01,train,25,6,0.0001,0.75,0.1,0.0,0.0,7.7052,7.68773894310517
G01_R0068,G01,train,25,6,0.0001,0.75,0.2,0.0,0.0,8.3654,8.340684565178583
G01_R0069,G01,train,25,6,0.0001,0.75,0.3,0.0,0.0,9.2061,9.199441522619068
G01_R0070,G01,test,25,6,0.0001,0.7,0.1,0.0,0.0,7.7083,7.686469002480173
G01_R0071,G01,test,25,6,0.0001,0.7,0.2,0.0,0.0,8.3694,8.341598493551599
G01_R0072,G01,train,25,6,0.0001,0.7,0.3,0.0,0.0,9.211,9.200604709226214
G01_R0073,G01,train,25,6,1e-05,0.85,0.1,0.0,0.0,7.7834,7.787462630307544
G01_R0074,G01,test,25,6,1e-05,0.85,0.2,0.0,0.0,8.4703,8.456597744146817
G01_R0075,G01,train,25,6,1e-05,0.85,0.3,0.0,0.0,9.3549,9.3501314946564
G01_R0076,G01,train,25,6,1e-05,0.8,0.1,0.0,0.0,7.7844,7.787683513244055
G01_R0077,G01,train,25,6,1e-05,0.8,0.2,0.0,0.0,8.4716,8.45827834102182
