case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,pct_error
G01_R0001,G01,train,25,3,0.001,0.85,0.1,0.0,0.0,3.5391007,3.545918364791216,0.192638338638279
G01_R0002,G01,train,25,3,0.001,0.85,0.2,0.0,0.0,4.931962,4.935696566098741,0.0757217127532795
G01_R0003,G01,train,25,3,0.001,0.85,0.3,0.0,0.0,6.9917847,6.999046481118107,0.1038616237440324
G01_R0004,G01,train,25,3,0.001,0.8,0.1,0.0,0.0,3.5506918,3.5491029702953973,-0.0447470463249647
G01_R0005,G01,train,25,3,0.001,0.8,0.2,0.0,0.0,4.9540439,4.951768174507374,-0.0459367243924907
G01_R0006,G01,train,25,3,0.001,0.8,0.3,0.0,0.0,7.0272847,7.023178308134179,-0.0584349722705961
G01_R0007,G01,train,25,3,0.001,0.75,0.1,0.0,0.0,3.5627573,3.5643439388778337,0.0445340152087776
G01_R0008,G01,train,25,3,0.001,0.75,0.2,0.0,0.0,4.9773848,4.9828937360156695,0.1106793273381086
G01_R0009,G01,test,25,3,0.001,0.75,0.3,0.0,0.0,7.0650341,7.081768753985728,0.2368658629082662
G01_R0010,G01,train,25,3,0.001,0.7,0.1,0.0,0.0,3.575394,3.5731461530013124,-0.062869910244514
G01_R0011,G01,train,25,3,0.001,0.7,0.2,0.0,0.0,5.0019789,4.997541883753729,-0.0887052171745714
G01_R0012,G01,train,25,3,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.096479488398185,-0.1244969245436016
G01_R0013,G01,test,25,3,0.0001,0.85,0.1,0.0,0.0,4.437649,4.44056627164582,0.0657391255103699
G01_R0014,G01,train,25,3,0.0001,0.85,0.2,0.0,0.0,6.7143536,6.728697652981055,0.2136326716700689
G01_R0015,G01,test,25,3,0.0001,0.85,0.3,0.0,0.0,10.326261,10.336972809772227,0.1037336725483381
G01_R0016,G01,train,25,3,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.445783503620819,-0.0277735824891875
G01_R0017,G01,train,25,3,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,6.728697652981055,-0.0426445501406248
G01_R0018,G01,test,25,3,0.0001,0.8,0.3,0.0,0.0,10.355907,10.352180977533578,-0.0359796825755769
G01_R0019,G01,train,25,3,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.458082355229446,0.0250878216487836
G01_R0020,G01,test,25,3,0.0001,0.75,0.2,0.0,0.0,6.7501525,6.752953272849996,0.0414919936993312
G01_R0021,G01,train,25,3,0.0001,0.75,0.3,0.0,0.0,10.387515,10.3911145401186,0.034652562413628
G01_R0022,G01,train,25,3,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.4645007838544295,-0.0667247533564615
G01_R0023,G01,train,25,3,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,6.759919291037233,-0.1518671153598809
G01_R0024,G01,test,25,3,0.0001,0.7,0.3,0.0,0.0,10.422079,10.412172271725632,-0.0950552022717146
G01_R0025,G01,train,25,3,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.6794846284863,0.0785216807299987
G01_R0026,G01,train,25,3,1e-05,0.85,0.2,0.0,0.0,14.034764,14.04239966927006,0.0544053984097067
G01_R0027,G01,test,25,3,1e-05,0.85,0.3,0.0,0.0,25.849678,25.87576805439624,0.1009299009304294
G01_R0028,G01,train,25,3,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.683218108078994,-0.031945832410632
G01_R0029,G01,train,25,3,1e-05,0.8,0.2,0.0,0.0,14.060641,14.05826935197097,-0.0168672824306492
G01_R0030,G01,test,25,3,1e-05,0.8,0.3,0.0,0.0,25.895523,25.8904115182176,-0.0197388629007555
G01_R0031,G01,train,25,3,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.699560428341638,0.0269602041656993
G01_R0032,G01,train,25,3,1e-05,0.75,0.2,0.0,0.0,14.089505,14.102001741879672,0.0886953933418604
G01_R0033,G01,train,25,3,1e-05,0.75,0.3,0.0,0.0,25.947354,25.959109755380283,0.045306181818315
G01_R0034,G01,test,25,3,1e-05,0.7,0.1,0.0,0.0,6.711645,6.70441108937499,-0.1077814846436222
G01_R0035,G01,train,25,3,1e-05,0.7,0.2,0.0,0.0,14.122356,14.114828359888314,-0.0533030049071552
G01_R0036,G01,train,25,3,1e-05,0.7,0.3,0.0,0.0,26.007168,25.990056346998905,-0.065795910577787
G01_R0037,G01,train,25,3,1e-06,0.85,0.1,0.0,0.0,24.410804,24.450848579754364,0.1640444933905715
G01_R0038,G01,train,25,3,1e-06,0.85,0.2,0.0,0.0,78.946158,78.96416059097265,0.0228036315239769
G01_R0039,G01,train,25,3,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,168.64148178788145,0.0297190689558429
G01_R0040,G01,train,25,3,1e-06,0.8,0.1,0.0,0.0,24.455769,24.45096348225437,-0.0196498329111243
G01_R0041,G01,train,25,3,1e-06,0.8,0.2,0.0,0.0,79.044114,79.0328229952049,-0.0142844346324099
G01_R0042,G01,train,25,3,1e-06,0.8,0.3,0.0,0.0,168.75132200000002,168.7399762455595,-0.0067233573675508
G01_R0043,G01,train,25,3,1e-06,0.75,0.1,0.0,0.0,24.504731,24.50722775624026,0.0101888743045524
G01_R0044,G01,test,25,3,1e-06,0.75,0.2,0.0,0.0,79.15306600000001,79.20611736079337,0.0670237597534899
G01_R0045,G01,train,25,3,1e-06,0.75,0.3,0.0,0.0,168.93126099999998,168.96819789529397,0.0218650444419466
G01_R0046,G01,test,25,3,1e-06,0.7,0.1,0.0,0.0,24.55769,24.52588909437405,-0.1294946944356178
G01_R0047,G01,train,25,3,1e-06,0.7,0.2,0.0,0.0,79.27501500000001,79.24804424668622,-0.034021757439958
G01_R0048,G01,train,25,3,1e-06,0.7,0.3,0.0,0.0,169.13119600000002,169.02566616879085,-0.0623952491941036
G01_R0049,G01,train,25,6,0.001,0.85,0.1,0.0,0.0,3.5391007,3.546174953545383,0.1998884503451035
G01_R0050,G01,train,25,6,0.001,0.85,0.2,0.0,0.0,4.931962,4.935459084833269,0.0709065648370509
G01_R0051,G01,train,25,6,0.001,0.85,0.3,0.0,0.0,6.9917847,6.998740590118104,0.0994866177458706
G01_R0052,G01,test,25,6,0.001,0.8,0.1,0.0,0.0,3.5506918,3.5493674569870644,-0.0372981685691704
G01_R0053,G01,train,25,6,0.001,0.8,0.2,0.0,0.0,4.9540439,4.951491008491902,-0.0515314672140495
G01_R0054,G01,train,25,6,0.001,0.8,0.3,0.0,0.0,7.0272847,7.022872417134176,-0.0627878768854263
G01_R0055,G01,train,25,6,0.001,0.75,0.1,0.0,0.0,3.5627573,3.564577431882,0.0510877314601227
G01_R0056,G01,train,25,6,0.001,0.75,0.2,0.0,0.0,4.9773848,4.9831905687864975,0.1166429564878566
G01_R0057,G01,train,25,6,0.001,0.75,0.3,0.0,0.0,7.0650341,7.0819820504857285,0.239884907076788
G01_R0058,G01,train,25,6,0.001,0.7,0.1,0.0,0.0,3.575394,3.5732467776971446,-0.0600555436087764
G01_R0059,G01,train,25,6,0.001,0.7,0.2,0.0,0.0,5.0019789,4.997804334674556,-0.0834582753926478
G01_R0060,G01,train,25,6,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.096692784898186,-0.1214950000997172
G01_R0061,G01,train,25,6,0.0001,0.85,0.1,0.0,0.0,4.437649,4.44055849644582,0.0655639156188196
G01_R0062,G01,test,25,6,0.0001,0.85,0.2,0.0,0.0,6.7143536,6.730776240638482,0.2445900471861088
G01_R0063,G01,train,25,6,0.0001,0.85,0.3,0.0,0.0,10.326261,10.336972809772227,0.1037336725483381
G01_R0064,G01,train,25,6,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.445758994920819,-0.0283247090349624
G01_R0065,G01,train,25,6,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,6.730776240638482,-0.0117663421986992
G01_R0066,G01,train,25,6,0.0001,0.8,0.3,0.0,0.0,10.355907,10.352180977533578,-0.0359796825755769
G01_R0067,G01,train,25,6,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.457923310175279,0.02151936008998
G01_R0068,G01,train,25,6,0.0001,0.75,0.2,0.0,0.0,6.7501525,6.753103508881242,0.0437176623971368
G01_R0069,G01,train,25,6,0.0001,0.75,0.3,0.0,0.0,10.387515,10.3911145401186,0.034652562413628
G01_R0070,G01,test,25,6,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.464333658000262,-0.0704656943471619
G01_R0071,G01,test,25,6,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,6.760069527068481,-0.1496480375031448
G01_R0072,G01,train,25,6,0.0001,0.7,0.3,0.0,0.0,10.422079,10.412172271725632,-0.0950552022717146
G01_R0073,G01,train,25,6,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.679922977488525,0.0850894509342803
G01_R0074,G01,test,25,6,1e-05,0.85,0.2,0.0,0.0,14.034764,14.04272632318673,0.0567328612489075
G01_R0075,G01,train,25,6,1e-05,0.85,0.3,0.0,0.0,25.849678,25.87563390060457,0.1004109242852652
G01_R0076,G01,train,25,6,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.683648706518719,-0.0255049101706596
G01_R0077,G01,train,25,6,1e-05,0.8,0.2,0.0,0.0,14.060641,14.058583979220971,-0.0146296372905681
G01_R0078,G01,train,25,6,1e-05,0.8,0.3,0.0,0.0,25.895523,25.890277364425927,-0.0202569207583633
G01_R0079,G01,train,25,6,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.699642850451012,0.0281907972982611
G01_R0080,G01,test,25,6,1e-05,0.75,0.2,0.0,0.0,14.089505,14.103035811254667,0.09603468152122
