case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,pct_error
G01_R0001,G01,train,25,3,0.001,0.85,0.1,0.0,0.0,6.7058,6.706372563045635,0.0085383257125924
G01_R0002,G01,train,25,3,0.001,0.85,0.2,0.0,0.0,7.2261,7.228038319146829,0.0268238627590119
G01_R0003,G01,train,25,3,0.001,0.85,0.3,0.0,0.0,7.8352,7.828017187220432,-0.091673636659796
G01_R0004,G01,train,25,3,0.001,0.8,0.1,0.0,0.0,6.7107,6.706327168105159,-0.0651620828652906
G01_R0005,G01,train,25,3,0.001,0.8,0.2,0.0,0.0,7.233,7.227941332539684,-0.0699387178254592
G01_R0006,G01,train,25,3,0.001,0.8,0.3,0.0,0.0,7.8432,7.831091494164873,-0.1543822143401561
G01_R0007,G01,train,25,3,0.001,0.75,0.1,0.0,0.0,6.7158,6.708628517757928,-0.1067852265116836
G01_R0008,G01,train,25,3,0.001,0.75,0.2,0.0,0.0,7.2402,7.231117819940477,-0.1254410107389604
G01_R0009,G01,test,25,3,0.001,0.75,0.3,0.0,0.0,7.8515,7.833553041188675,-0.2285800014178793
G01_R0010,G01,train,25,3,0.001,0.7,0.1,0.0,0.0,6.7212,6.709268009920626,-0.1775276748106548
G01_R0011,G01,train,25,3,0.001,0.7,0.2,0.0,0.0,7.2478,7.232011915178573,-0.2178327881760935
G01_R0012,G01,train,25,3,0.001,0.7,0.3,0.0,0.0,7.8605,7.834114005424786,-0.3356783229465507
G01_R0013,G01,test,25,3,0.0001,0.85,0.1,0.0,0.0,7.0146,7.003461969598814,-0.1587835429131446
G01_R0014,G01,train,25,3,0.0001,0.85,0.2,0.0,0.0,7.6278,7.616390797668666,-0.1495739575150563
G01_R0015,G01,test,25,3,0.0001,0.85,0.3,0.0,0.0,8.4242,8.388211286593624,-0.4272063033448542
G01_R0016,G01,train,25,3,0.0001,0.8,0.1,0.0,0.0,7.0175,7.004956394301194,-0.1787474983798468
G01_R0017,G01,train,25,3,0.0001,0.8,0.2,0.0,0.0,7.6314,7.617222808779778,-0.1857744479416881
