case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,residual,abs_error
G01_R0001,G01,train,25,3,0.001,0.85,0.1,0.0,0.0,3.5391007,3.545918364791216,0.0068176647912157,0.0068176647912157
G01_R0002,G01,train,25,3,0.001,0.85,0.2,0.0,0.0,4.931962,4.935696566098741,0.0037345660987408,0.0037345660987408
G01_R0003,G01,train,25,3,0.001,0.85,0.3,0.0,0.0,6.9917847,6.999046481118107,0.0072617811181068,0.0072617811181068
G01_R0004,G01,train,25,3,0.001,0.8,0.1,0.0,0.0,3.5506918,3.5491029702953973,-0.0015888297046027,0.0015888297046027
G01_R0005,G01,train,25,3,0.001,0.8,0.2,0.0,0.0,4.9540439,4.951768174507374,-0.002275725492626,0.002275725492626
G01_R0006,G01,train,25,3,0.001,0.8,0.3,0.0,0.0,7.0272847,7.023178308134179,-0.0041063918658208,0.0041063918658208
G01_R0007,G01,train,25,3,0.001,0.75,0.1,0.0,0.0,3.5627573,3.5643439388778337,0.0015866388778338,0.0015866388778338
G01_R0008,G01,train,25,3,0.001,0.75,0.2,0.0,0.0,4.9773848,4.9828937360156695,0.0055089360156692,0.0055089360156692
G01_R0009,G01,test,25,3,0.001,0.75,0.3,0.0,0.0,7.0650341,7.081768753985728,0.0167346539857282,0.0167346539857282
G01_R0010,G01,train,25,3,0.001,0.7,0.1,0.0,0.0,3.575394,3.5731461530013124,-0.0022478469986877,0.0022478469986877
G01_R0011,G01,train,25,3,0.001,0.7,0.2,0.0,0.0,5.0019789,4.997541883753729,-0.0044370162462712,0.0044370162462712
G01_R0012,G01,train,25,3,0.001,0.7,0.3,0.0,0.0,7.105325400000001,7.096479488398185,-0.0088459116018153,0.0088459116018153
G01_R0013,G01,test,25,3,0.0001,0.85,0.1,0.0,0.0,4.437649,4.44056627164582,0.0029172716458196,0.0029172716458196
G01_R0014,G01,train,25,3,0.0001,0.85,0.2,0.0,0.0,6.7143536,6.728697652981055,0.0143440529810554,0.0143440529810554
G01_R0015,G01,test,25,3,0.0001,0.85,0.3,0.0,0.0,10.326261,10.336972809772227,0.0107118097722267,0.0107118097722267
G01_R0016,G01,train,25,3,0.0001,0.8,0.1,0.0,0.0,4.4470186,4.445783503620819,-0.0012350963791805,0.0012350963791805
G01_R0017,G01,train,25,3,0.0001,0.8,0.2,0.0,0.0,6.731568299999999,6.728697652981055,-0.0028706470189439,0.0028706470189439
G01_R0018,G01,test,25,3,0.0001,0.8,0.3,0.0,0.0,10.355907,10.352180977533578,-0.0037260224664219,0.0037260224664219
G01_R0019,G01,train,25,3,0.0001,0.75,0.1,0.0,0.0,4.4569642,4.458082355229446,0.0011181552294461,0.0011181552294461
G01_R0020,G01,test,25,3,0.0001,0.75,0.2,0.0,0.0,6.7501525,6.752953272849996,0.0028007728499952,0.0028007728499952
G01_R0021,G01,train,25,3,0.0001,0.75,0.3,0.0,0.0,10.387515,10.3911145401186,0.0035995401185999,0.0035995401185999
G01_R0022,G01,train,25,3,0.0001,0.7,0.1,0.0,0.0,4.4674817,4.4645007838544295,-0.00298091614557,0.00298091614557
G01_R0023,G01,train,25,3,0.0001,0.7,0.2,0.0,0.0,6.770200999999999,6.759919291037233,-0.0102817089627658,0.0102817089627658
G01_R0024,G01,test,25,3,0.0001,0.7,0.3,0.0,0.0,10.422079,10.412172271725632,-0.0099067282743678,0.0099067282743678
G01_R0025,G01,train,25,3,1e-05,0.85,0.1,0.0,0.0,6.6742439000000005,6.6794846284863,0.0052407284862994,0.0052407284862994
G01_R0026,G01,train,25,3,1e-05,0.85,0.2,0.0,0.0,14.034764,14.04239966927006,0.007635669270062,0.007635669270062
G01_R0027,G01,test,25,3,1e-05,0.85,0.3,0.0,0.0,25.849678,25.87576805439624,0.026090054396235,0.026090054396235
G01_R0028,G01,train,25,3,1e-05,0.8,0.1,0.0,0.0,6.6853538,6.683218108078994,-0.0021356919210058,0.0021356919210058
G01_R0029,G01,train,25,3,1e-05,0.8,0.2,0.0,0.0,14.060641,14.05826935197097,-0.0023716480290296,0.0023716480290296
G01_R0030,G01,test,25,3,1e-05,0.8,0.3,0.0,0.0,25.895523,25.8904115182176,-0.0051114817824036,0.0051114817824036
G01_R0031,G01,train,25,3,1e-05,0.75,0.1,0.0,0.0,6.6977547,6.699560428341638,0.0018057283416377,0.0018057283416377
G01_R0032,G01,train,25,3,1e-05,0.75,0.2,0.0,0.0,14.089505,14.102001741879672,0.012496741879671,0.012496741879671
G01_R0033,G01,train,25,3,1e-05,0.75,0.3,0.0,0.0,25.947354,25.959109755380283,0.0117557553802818,0.0117557553802818
G01_R0034,G01,test,25,3,1e-05,0.7,0.1,0.0,0.0,6.711645,6.70441108937499,-0.0072339106250094,0.0072339106250094
G01_R0035,G01,train,25,3,1e-05,0.7,0.2,0.0,0.0,14.122356,14.114828359888314,-0.0075276401116859,0.0075276401116859
G01_R0036,G01,train,25,3,1e-05,0.7,0.3,0.0,0.0,26.007168,25.990056346998905,-0.0171116530010948,0.0171116530010948
G01_R0037,G01,train,25,3,1e-06,0.85,0.1,0.0,0.0,24.410804,24.450848579754364,0.0400445797543653,0.0400445797543653
G01_R0038,G01,train,25,3,1e-06,0.85,0.2,0.0,0.0,78.946158,78.96416059097265,0.0180025909726566,0.0180025909726566
G01_R0039,G01,train,25,3,1e-06,0.85,0.3,0.0,0.0,168.59137800000002,168.64148178788145,0.0501037878814258,0.0501037878814258
G01_R0040,G01,train,25,3,1e-06,0.8,0.1,0.0,0.0,24.455769,24.45096348225437,-0.0048055177456305,0.0048055177456305
