case_uid,geometry_id,split,Re,Pr,Da,epsi,Hp_mm,a_mm,Lw_mm,true_value,pred_value,residual,abs_error
G01_R0001,G01,train,25,3,0.001,0.85,0.1,0.0,0.0,6.7058,6.706372563045635,0.000572563045635,0.000572563045635
G01_R0002,G01,train,25,3,0.001,0.85,0.2,0.0,0.0,7.2261,7.228038319146829,0.0019383191468289,0.0019383191468289
G01_R0003,G01,train,25,3,0.001,0.85,0.3,0.0,0.0,7.8352,7.828017187220432,-0.0071828127795683,0.0071828127795683
G01_R0004,G01,train,25,3,0.001,0.8,0.1,0.0,0.0,6.7107,6.706327168105159,-0.004372831894841,0.004372831894841
G01_R0005,G01,train,25,3,0.001,0.8,0.2,0.0,0.0,7.233,7.227941332539684,-0.0050586674603154,0.0050586674603154
G01_R0006,G01,train,25,3,0.001,0.8,0.3,0.0,0.0,7.8432,7.831091494164873,-0.0121085058351271,0.0121085058351271
G01_R0007,G01,train,25,3,0.001,0.75,0.1,0.0,0.0,6.7158,6.708628517757928,-0.0071714822420716,0.0071714822420716
G01_R0008,G01,train,25,3,0.001,0.75,0.2,0.0,0.0,7.2402,7.231117819940477,-0.0090821800595222,0.0090821800595222
G01_R0009,G01,test,25,3,0.001,0.75,0.3,0.0,0.0,7.8515,7.833553041188675,-0.0179469588113247,0.0179469588113247
G01_R0010,G01,train,25,3,0.001,0.7,0.1,0.0,0.0,6.7212,6.709268009920626,-0.0119319900793737,0.0119319900793737
G01_R0011,G01,train,25,3,0.001,0.7,0.2,0.0,0.0,7.2478,7.232011915178573,-0.0157880848214269,0.0157880848214269
G01_R0012,G01,train,25,3,0.001,0.7,0.3,0.0,0.0,7.8605,7.834114005424786,-0.0263859945752136,0.0263859945752136
G01_R0013,G01,test,25,3,0.0001,0.85,0.1,0.0,0.0,7.0146,7.003461969598814,-0.0111380304011854,0.0111380304011854
G01_R0014,G01,train,25,3,0.0001,0.85,0.2,0.0,0.0,7.6278,7.616390797668666,-0.0114092023313334,0.0114092023313334
G01_R0015,G01,test,25,3,0.0001,0.85,0.3,0.0,0.0,8.4242,8.388211286593624,-0.0359887134063772,0.0359887134063772
G01_R0016,G01,train,25,3,0.0001,0.8,0.1,0.0,0.0,7.0175,7.004956394301194,-0.0125436056988057,0.0125436056988057
G01_R0017,G01,train,25,3,0.0001,0.8,0.2,0.0,0.0,7.6314,7.617222808779778,-0.0141771912202219,0.0141771912202219
G01_R0018,G01,test,25,3,0.0001,0.8,0.3,0.0,0.0,8.4287,8.391957741305923,-0.0367422586940762,0.0367422586940762
G01_R0019,G01,train,25,3,0.0001,0.75,0.1,0.0,0.0,7.0204,7.007279437023056,-0.0131205629769439,0.0131205629769439
G01_R0020,G01,test,25,3,0.0001,0.75,0.2,0.0,0.0,7.6351,7.618188185416682,-0.0169118145833184,0.0169118145833184
G01_R0021,G01,train,25,3,0.0001,0.75,0.3,0.0,0.0,8.4333,8.401818217645214,-0.0314817823547848,0.0314817823547848
G01_R0022,G01,train,25,3,0.0001,0.7,0.1,0.0,0.0,7.0235,7.007205021844486,-0.0162949781555141,0.0162949781555141
G01_R0023,G01,train,25,3,0.0001,0.7,0.2,0.0,0.0,7.6389,7.621127868402802,-0.0177721315971979,0.0177721315971979
G01_R0024,G01,test,25,3,0.0001,0.7,0.3,0.0,0.0,8.4382,8.400272157674983,-0.0379278423250166,0.0379278423250166
G01_R0025,G01,train,25,3,1e-05,0.85,0.1,0.0,0.0,7.0987,7.104877435037882,0.0061774350378822,0.0061774350378822
G01_R0026,G01,train,25,3,1e-05,0.85,0.2,0.0,0.0,7.7415,7.737723990678424,-0.0037760093215766,0.0037760093215766
G01_R0027,G01,test,25,3,1e-05,0.85,0.3,0.0,0.0,8.5874,8.567463435912689,-0.0199365640873114,0.0199365640873114
G01_R0028,G01,train,25,3,1e-05,0.8,0.1,0.0,0.0,7.0997,7.1049481350378825,0.0052481350378821,0.0052481350378821
G01_R0029,G01,train,25,3,1e-05,0.8,0.2,0.0,0.0,7.7428,7.737356440331199,-0.0054435596688007,0.0054435596688007
