model_family,split_name,family,target,primary_score,tau_predict,tau_warn,n_test,n_predict,n_warn,n_abstain,coverage_predict_only,coverage_warn_only,coverage_abstain_only,coverage_predict_or_warn,failure_rate_all,failure_rate_predict_only,failure_rate_warn_only,failure_rate_abstain_only,failure_rate_predict_or_warn,MAPE_all_pct,MAPE_predict_only_pct,MAPE_warn_only_pct,MAPE_abstain_only_pct,MAPE_predict_or_warn_pct,train_seconds,physics_violation_rate_all
ExtraTrees,random80_20,in_distribution,Nuavg,conservative_U_D_V_max,0.88269550276781,1.0,922,703,81,138,0.762472885032538,0.0878524945770065,0.14967462039045554,0.8503253796095445,0.008676789587852495,0.004267425320056899,0.0,0.036231884057971016,0.003826530612244898,0.3227842221555548,0.22022095690508836,0.3957057143898891,0.8024605598374159,0.23835139741053335,1.3862289000535384,0.0
ExtraTrees,random80_20,in_distribution,DelP_Pa,conservative_U_D_V_max,0.9020376813876082,1.0,922,716,66,140,0.7765726681127982,0.07158351409978309,0.15184381778741865,0.8481561822125814,0.0,0.0,0.0,0.0,0.0,0.10908894382502865,0.08402380725502981,0.14720045048916702,0.21931236056992895,0.08935585131315392,1.1742797000333667,0.0
ExtraTrees,holdout_Re25,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.8835934858472438,1.0,1152,0,0,1152,0.0,0.0,1.0,0.0,1.0,,,1.0,,39.855107653526105,,,39.855107653526105,,1.1359174000099301,0.0
ExtraTrees,holdout_Re25,withheld_reynolds,DelP_Pa,conservative_U_D_V_max,0.8835934858472438,1.0,1152,0,0,1152,0.0,0.0,1.0,0.0,1.0,,,1.0,,331.3957777532744,,,331.3957777532744,,1.2350523999193683,0.0
ExtraTrees,holdout_Re100,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.876249947966246,1.0,1152,0,0,1152,0.0,0.0,1.0,0.0,0.8888888888888888,,,0.8888888888888888,,8.709623468082045,,,8.709623468082045,,1.167023100075312,0.0
ExtraTrees,holdout_Re100,withheld_reynolds,DelP_Pa,conservative_U_D_V_max,0.8691539416394543,1.0,1152,0,0,1152,0.0,0.0,1.0,0.0,1.0,,,1.0,,45.834767111648134,,,45.834767111648134,,1.2970482999226078,0.0
ExtraTrees,holdout_Re250,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.8692703746581659,1.0,1152,0,0,1152,0.0,0.0,1.0,0.0,0.4817708333333333,,,0.4817708333333333,,4.692423549076764,,,4.692423549076764,,1.1489743000129238,0.0
ExtraTrees,holdout_Re250,withheld_reynolds,DelP_Pa,conservative_U_D_V_max,0.8692703746581659,1.0,1152,0,0,1152,0.0,0.0,1.0,0.0,1.0,,,1.0,,27.7700200200929,,,27.7700200200929,,1.2742266999557614,0.0
ExtraTrees,holdout_Re500,withheld_reynolds,Nuavg,conservative_U_D_V_max,0.8769689276053371,1.0,1152,0,186,966,0.0,0.16145833333333334,0.8385416666666666,0.16145833333333334,1.0,,1.0,1.0,1.0,22.252512358409167,,18.45374987546068,22.983951097361984,18.45374987546068,1.1337633999064565,0.0
ExtraTrees,holdout_Re500,withheld_reynolds,DelP_Pa,conservative_U_D_V_max,0.8822717051619332,1.0,1152,0,187,965,0.0,0.1623263888888889,0.8376736111111112,0.1623263888888889,1.0,,1.0,1.0,1.0,58.35959017874128,,58.27071764206833,58.376812110718326,58.27071764206833,1.2756554998923093,0.0
ExtraTrees,holdout_G01,withheld_geometry,Nuavg,conservative_U_D_V_max,0.9081864028167135,1.0,768,0,0,768,0.0,0.0,1.0,0.0,0.12109375,,,0.12109375,,2.712306549322607,,,2.712306549322607,,1.2607148999813944,0.0
