model_family,split,split_family,retained_cov_nu_delp_pct,retained_mape_nu_delp_pct,retained_fail_nu_delp_pct,abstain_cov_nu_delp_pct,bias_nu_delp_pct
ExtraTrees,Holdout Re=25,Withheld Reynolds,0.0/0.0,--/--,--/--,100.0/100.0,39.9/331.4
ExtraTrees,Holdout Re=100,Withheld Reynolds,0.0/0.0,--/--,--/--,100.0/100.0,-8.6/-45.8
ExtraTrees,Holdout Re=250,Withheld Reynolds,0.0/0.0,--/--,--/--,100.0/100.0,-4.1/-27.8
ExtraTrees,Holdout Re=500,Withheld Reynolds,16.1/16.2,18.454/58.271,100.0/100.0,83.9/83.8,-22.3/-58.4
ExtraTrees,Holdout G01,Withheld geometry,0.0/0.0,--/--,--/--,100.0/100.0,-2.7/4.8
ExtraTrees,Holdout G02,Withheld geometry,39.6/2.6,0.709/0.201,2.3/0.0,60.4/97.4,-0.3/1.4
ExtraTrees,Holdout G03,Withheld geometry,48.0/55.5,0.647/0.427,0.0/0.0,52.0/44.5,-1.1/0.4
ExtraTrees,Holdout G04,Withheld geometry,18.2/0.0,0.680/--,0.0/--,81.8/100.0,1.7/3.9
ExtraTrees,Holdout G05,Withheld geometry,49.3/74.0,1.840/1.554,8.4/0.0,50.7/26.0,-0.4/1.5
ExtraTrees,Holdout G06,Withheld geometry,0.0/0.0,--/--,--/--,100.0/100.0,-2.2/-19.2
XGBoost,Holdout Re=25,Withheld Reynolds,0.0/0.0,--/--,--/--,100.0/100.0,39.9/331.4
XGBoost,Holdout Re=100,Withheld Reynolds,16.4/16.3,22.565/76.667,100.0/100.0,83.6/83.7,-27.9/-76.8
XGBoost,Holdout Re=250,Withheld Reynolds,96.2/95.9,23.851/65.135,100.0/100.0,3.8/4.1,-24.0/-65.1
XGBoost,Holdout Re=500,Withheld Reynolds,16.1/16.2,18.485/58.266,100.0/100.0,83.9/83.8,-22.3/-58.4
XGBoost,Holdout G01,Withheld geometry,0.0/0.0,--/--,--/--,100.0/100.0,-2.7/4.8
XGBoost,Holdout G02,Withheld geometry,58.6/85.0,0.852/0.466,1.6/0.0,41.4/15.0,0.4/0.2
XGBoost,Holdout G03,Withheld geometry,46.9/53.3,0.803/0.330,2.5/0.0,53.1/46.7,-0.8/0.1
XGBoost,Holdout G04,Withheld geometry,57.7/84.8,2.413/1.581,12.2/0.0,42.3/15.2,1.4/-1.3
XGBoost,Holdout G05,Withheld geometry,66.3/67.3,2.120/1.295,9.8/0.0,33.7/32.7,-0.6/1.2
XGBoost,Holdout G06,Withheld geometry,0.0/0.0,--/--,--/--,100.0/100.0,-2.2/-19.2
