model_family,split_name,split,family,target,full_MAPE_pct,AURC_MAPE_pct,failure_AUROC,failure_AUPRC
ExtraTrees,random80_20,Random 80/20,in_distribution,DelP_Pa,0.1090889438250286,0.0698298623902281,,
ExtraTrees,random80_20,Random 80/20,in_distribution,Nuavg,0.3227842221555548,0.1863257866287613,0.769488512035011,0.0287875793367205
ExtraTrees,holdout_Re25,Holdout Re=25,withheld_reynolds,DelP_Pa,331.3957777532744,327.89040984986246,,
ExtraTrees,holdout_Re25,Holdout Re=25,withheld_reynolds,Nuavg,39.855107653526105,41.15045391929987,,
ExtraTrees,holdout_Re100,Holdout Re=100,withheld_reynolds,DelP_Pa,45.83476711164813,45.74261079998135,,
ExtraTrees,holdout_Re100,Holdout Re=100,withheld_reynolds,Nuavg,8.709623468082045,8.3287151583236,0.5,0.8888888888888888
ExtraTrees,holdout_Re250,Holdout Re=250,withheld_reynolds,DelP_Pa,27.7700200200929,27.46620752935736,,
ExtraTrees,holdout_Re250,Holdout Re=250,withheld_reynolds,Nuavg,4.692423549076764,5.22636986932649,0.5,0.4817708333333333
ExtraTrees,holdout_Re500,Holdout Re=500,withheld_reynolds,DelP_Pa,58.35959017874128,58.19529611314599,,
ExtraTrees,holdout_Re500,Holdout Re=500,withheld_reynolds,Nuavg,22.252512358409167,20.894227556020734,,
ExtraTrees,holdout_G01,Holdout G01,withheld_geometry,DelP_Pa,4.759309334662876,4.067773478124342,0.5,0.03125
ExtraTrees,holdout_G01,Holdout G01,withheld_geometry,Nuavg,2.712306549322607,2.1641153885251585,0.5,0.12109375
ExtraTrees,holdout_G02,Holdout G02,withheld_geometry,DelP_Pa,1.4180217588329105,1.3379753322526258,,
ExtraTrees,holdout_G02,Holdout G02,withheld_geometry,Nuavg,1.10969839586656,0.86191381971446,0.5566296296296296,0.0260088993417947
ExtraTrees,holdout_G03,Holdout G03,withheld_geometry,DelP_Pa,0.3891632346590956,0.4410419381676075,,
ExtraTrees,holdout_G03,Holdout G03,withheld_geometry,Nuavg,1.1565928660212366,0.7811758414905029,0.7551867219917012,0.112781954887218
ExtraTrees,holdout_G04,Holdout G04,withheld_geometry,DelP_Pa,3.947702382849634,3.7596664903754338,0.5,0.0625
ExtraTrees,holdout_G04,Holdout G04,withheld_geometry,Nuavg,2.2765711173535057,1.3224496289037166,0.6060606060606061,0.1719745222929936
ExtraTrees,holdout_G05,Holdout G05,withheld_geometry,DelP_Pa,1.5694741099668388,1.6328427065838322,,
ExtraTrees,holdout_G05,Holdout G05,withheld_geometry,Nuavg,2.047092550289887,2.1399710498696267,0.516952027458493,0.0999812628405096
ExtraTrees,holdout_G06,Holdout G06,withheld_geometry,DelP_Pa,19.17951976121648,17.774463007090574,0.5,0.7708333333333334
ExtraTrees,holdout_G06,Holdout G06,withheld_geometry,Nuavg,4.783887355055115,4.228435399423877,0.5,0.27734375
ExtraTrees,combined_G06_Re500,Combined G06/Re500,combined_shift,DelP_Pa,68.17182687887687,69.40647866619594,,
ExtraTrees,combined_G06_Re500,Combined G06/Re500,combined_shift,Nuavg,29.01401396975886,21.38250921600896,,
XGBoost,random80_20,Random 80/20,in_distribution,DelP_Pa,0.4313515115793473,0.302034924408569,,
XGBoost,random80_20,Random 80/20,in_distribution,Nuavg,0.5153089631954142,0.3574310584792805,0.8321623731459796,0.0347376458911346
XGBoost,holdout_Re25,Holdout Re=25,withheld_reynolds,DelP_Pa,331.44663899580064,327.9247208634288,,
XGBoost,holdout_Re25,Holdout Re=25,withheld_reynolds,Nuavg,39.87311339247277,41.18629605037301,,
XGBoost,holdout_Re100,Holdout Re=100,withheld_reynolds,DelP_Pa,76.77215299759578,76.68276004195953,,
XGBoost,holdout_Re100,Holdout Re=100,withheld_reynolds,Nuavg,27.917541459144594,26.51504326882872,,
XGBoost,holdout_Re250,Holdout Re=250,withheld_reynolds,DelP_Pa,65.12846587739442,65.3370208786029,,
XGBoost,holdout_Re250,Holdout Re=250,withheld_reynolds,Nuavg,23.97226201168336,22.84522994838036,,
XGBoost,holdout_Re500,Holdout Re=500,withheld_reynolds,DelP_Pa,58.37050169214336,58.19950489414171,,
