model_family,split,target,full_MAPE_pct,AURC_MAPE_pct,failure_AUROC,failure_AUPRC
ExtraTrees,Random 80/20,DelP_Pa,0.1090889438250286,0.0698298623902281,,
XGBoost,Random 80/20,DelP_Pa,0.4313515115793473,0.302034924408569,,
ExtraTrees,Random 80/20,Nuavg,0.3227842221555548,0.1863257866287613,0.769488512035011,0.0287875793367205
XGBoost,Random 80/20,Nuavg,0.5153089631954142,0.3574310584792805,0.8321623731459796,0.0347376458911346
ExtraTrees,Holdout Re=500,DelP_Pa,58.35959017874128,58.19529611314599,,
XGBoost,Holdout Re=500,DelP_Pa,58.37050169214336,58.19950489414171,,
ExtraTrees,Holdout Re=500,Nuavg,22.252512358409167,20.894227556020734,,
XGBoost,Holdout Re=500,Nuavg,22.25554962522673,20.904954795864512,,
ExtraTrees,Combined G06/Re500,DelP_Pa,68.17182687887687,69.40647866619594,,
XGBoost,Combined G06/Re500,DelP_Pa,68.18438106348701,69.41746696340361,,
ExtraTrees,Combined G06/Re500,Nuavg,29.01401396975886,21.38250921600896,,
XGBoost,Combined G06/Re500,Nuavg,29.005076624094272,21.352305649657684,,
