model_family,split_name,split,split_family,target,n_cases,n_retained,n_abstain,n_failed,retained_cov_pct,abstain_cov_pct,MAPE_all_pct,MAPE_retained_pct,failure_all_pct,failure_retained_pct,false_accept_n,false_accept_pct_all,false_abstain_n,false_abstain_pct_all,bias_pct
ExtraTrees,random80_20,Random 80/20,Random 80/20,DelP_Pa,922,782,140,0,84.81561822125813,15.184381778741866,0.10908894382502864,0.08935585131315389,0.0,0.0,0,0.0,140,15.184381778741866,0.007965579120437336
ExtraTrees,random80_20,Random 80/20,Random 80/20,Nuavg,922,784,138,8,85.03253796095444,14.967462039045554,0.3227842221555548,0.2383513974105333,0.8676789587852495,0.3826530612244898,3,0.32537960954446854,133,14.425162689804772,0.036139321421215224
ExtraTrees,holdout_Re25,Holdout Re=25,Withheld Reynolds,DelP_Pa,1152,0,1152,1152,0.0,100.0,331.3957777532744,,100.0,,0,0.0,0,0.0,331.3957777532744
ExtraTrees,holdout_Re25,Holdout Re=25,Withheld Reynolds,Nuavg,1152,0,1152,1152,0.0,100.0,39.855107653526105,,100.0,,0,0.0,0,0.0,39.855107653526105
ExtraTrees,holdout_Re100,Holdout Re=100,Withheld Reynolds,DelP_Pa,1152,0,1152,1152,0.0,100.0,45.834767111648134,,100.0,,0,0.0,0,0.0,-45.834767111648134
ExtraTrees,holdout_Re100,Holdout Re=100,Withheld Reynolds,Nuavg,1152,0,1152,1024,0.0,100.0,8.709623468082045,,88.88888888888889,,0,0.0,128,11.11111111111111,-8.634588206155708
ExtraTrees,holdout_Re250,Holdout Re=250,Withheld Reynolds,DelP_Pa,1152,0,1152,1152,0.0,100.0,27.7700200200929,,100.0,,0,0.0,0,0.0,-27.770020020092904
ExtraTrees,holdout_Re250,Holdout Re=250,Withheld Reynolds,Nuavg,1152,0,1152,555,0.0,100.0,4.692423549076765,,48.17708333333333,,0,0.0,597,51.822916666666664,-4.086801119700963
ExtraTrees,holdout_Re500,Holdout Re=500,Withheld Reynolds,DelP_Pa,1152,187,965,1152,16.23263888888889,83.76736111111111,58.35959017874128,58.27071764206833,100.0,100.0,187,16.23263888888889,0,0.0,-58.35959017874128
ExtraTrees,holdout_Re500,Holdout Re=500,Withheld Reynolds,Nuavg,1152,186,966,1152,16.145833333333336,83.85416666666666,22.252512358409167,18.45374987546068,100.0,100.0,186,16.145833333333336,0,0.0,-22.252512358409167
ExtraTrees,holdout_G01,Holdout G01,Withheld geometry,DelP_Pa,768,0,768,24,0.0,100.0,4.759309334662875,,3.125,,0,0.0,744,96.875,4.759309334662876
ExtraTrees,holdout_G01,Holdout G01,Withheld geometry,Nuavg,768,0,768,93,0.0,100.0,2.712306549322607,,12.109375,,0,0.0,675,87.890625,-2.712306549322607
ExtraTrees,holdout_G02,Holdout G02,Withheld geometry,DelP_Pa,768,20,748,0,2.604166666666667,97.39583333333334,1.4180217588329105,0.20091020857119185,0.0,0.0,0,0.0,748,97.39583333333334,1.351888789512986
ExtraTrees,holdout_G02,Holdout G02,Withheld geometry,Nuavg,768,304,464,18,39.58333333333333,60.416666666666664,1.10969839586656,0.7090535628654788,2.34375,2.302631578947368,7,0.9114583333333334,453,58.984375,-0.26828790259513374
ExtraTrees,holdout_G03,Holdout G03,Withheld geometry,DelP_Pa,768,426,342,0,55.46875,44.53125,0.3891632346590956,0.4272288663800426,0.0,0.0,0,0.0,342,44.53125,0.35528722167762644
ExtraTrees,holdout_G03,Holdout G03,Withheld geometry,Nuavg,768,369,399,45,48.046875,51.953125,1.1565928660212366,0.6467275390996523,5.859375,0.0,0,0.0,354,46.09375,-1.1222916720521419
