model_family,split,split_family,false_accept_nu_delp_pct_all,false_abstain_nu_delp_pct_all,retained_fail_nu_delp_pct
ExtraTrees,Random 80/20,Random 80/20,0.3/0.0,14.4/15.2,0.4/0.0
ExtraTrees,Holdout Re=25,Withheld Reynolds,0.0/0.0,0.0/0.0,--/--
ExtraTrees,Holdout Re=100,Withheld Reynolds,0.0/0.0,11.1/0.0,--/--
ExtraTrees,Holdout Re=250,Withheld Reynolds,0.0/0.0,51.8/0.0,--/--
ExtraTrees,Holdout Re=500,Withheld Reynolds,16.1/16.2,0.0/0.0,100.0/100.0
ExtraTrees,Holdout G01,Withheld geometry,0.0/0.0,87.9/96.9,--/--
ExtraTrees,Holdout G02,Withheld geometry,0.9/0.0,59.0/97.4,2.3/0.0
ExtraTrees,Holdout G03,Withheld geometry,0.0/0.0,46.1/44.5,0.0/0.0
ExtraTrees,Holdout G04,Withheld geometry,0.0/0.0,67.7/93.8,0.0/--
ExtraTrees,Holdout G05,Withheld geometry,4.2/0.0,45.4/26.0,8.4/0.0
ExtraTrees,Holdout G06,Withheld geometry,0.0/0.0,72.3/22.9,--/--
ExtraTrees,Combined G06/Re500,Combined G06/Re500,0.0/0.0,0.0/0.0,--/--
XGBoost,Random 80/20,Random 80/20,0.2/0.0,13.9/13.7,0.3/0.0
XGBoost,Holdout Re=25,Withheld Reynolds,0.0/0.0,0.0/0.0,--/--
XGBoost,Holdout Re=100,Withheld Reynolds,16.4/16.3,0.0/0.0,100.0/100.0
XGBoost,Holdout Re=250,Withheld Reynolds,96.2/95.9,0.0/0.0,100.0/100.0
XGBoost,Holdout Re=500,Withheld Reynolds,16.1/16.2,0.0/0.0,100.0/100.0
XGBoost,Holdout G01,Withheld geometry,0.0/0.0,86.1/96.5,--/--
XGBoost,Holdout G02,Withheld geometry,0.9/0.0,36.6/15.0,1.6/0.0
XGBoost,Holdout G03,Withheld geometry,1.2/0.0,48.2/46.7,2.5/0.0
XGBoost,Holdout G04,Withheld geometry,7.0/0.0,35.5/15.2,12.2/0.0
XGBoost,Holdout G05,Withheld geometry,6.5/0.0,29.3/32.7,9.8/0.0
XGBoost,Holdout G06,Withheld geometry,0.0/0.0,72.4/22.9,--/--
XGBoost,Combined G06/Re500,Combined G06/Re500,0.0/0.0,0.0/0.0,--/--
