model_family,split_family,target,bias_all_pct,bias_retained_pct,bias_abstain_pct,median_signed_error_pct
ExtraTrees,Combined G06/Re500,DelP_Pa,-68.17182687887687,,-68.17182687887687,-70.74047593995141
ExtraTrees,Combined G06/Re500,Nuavg,-29.014013969758853,,-29.014013969758853,-27.84926642927158
ExtraTrees,Withheld Reynolds,DelP_Pa,49.85785011069801,-58.27071764206833,54.43148552570985,-37.43124173309598
ExtraTrees,Withheld Reynolds,Nuavg,1.2203014923150652,-18.453749875460677,2.0478396095485105,-5.748530735519772
ExtraTrees,Withheld geometry,DelP_Pa,-1.204696959129841,1.0259154590044757,-1.8340350203396905,1.0493674672415654
ExtraTrees,Withheld geometry,Nuavg,-0.847579089358401,-0.29872932449319917,-1.0390980939600756,-0.6004066506643303
XGBoost,Combined G06/Re500,DelP_Pa,-68.18438106348701,,-68.18438106348701,-70.75097672428788
XGBoost,Combined G06/Re500,Nuavg,-29.005076624094272,,-29.005076624094272,-28.05763155988281
XGBoost,Withheld Reynolds,DelP_Pa,32.79387960716676,-65.73168695195149,79.41083565176238,-61.75918285207452
XGBoost,Withheld Reynolds,Nuavg,-8.568059925895477,-23.014138162308154,-1.7125290380234783,-21.185082072019366
XGBoost,Withheld geometry,DelP_Pa,-2.373186062706575,-0.05524730619386848,-4.546862861286616,0.13320120530565172
XGBoost,Withheld geometry,Nuavg,-0.7533392227855695,-0.004373815315476549,-1.2170346015495552,-0.38803752535400277
