q_predict/q_warn,split_family,predict_cov_nu_delp_pct,retained_cov_nu_delp_pct,retained_mape_nu_delp_pct
0.70/0.85,Combined G06/Re500,0.0/0.0,0.0/0.0,--/--
0.70/0.85,Random 80/20,67.2/68.2,83.8/84.8,0.417/0.337
0.70/0.85,Withheld Reynolds,19.9/20.0,30.9/30.9,23.027/65.593
0.75/0.90,Combined G06/Re500,0.0/0.0,0.0/0.0,--/--
0.75/0.90,Random 80/20,73.1/74.1,85.6/86.3,0.428/0.338
0.75/0.90,Withheld Reynolds,21.4/21.4,32.2/32.1,23.014/65.732
0.80/0.90,Combined G06/Re500,0.0/0.0,0.0/0.0,--/--
0.80/0.90,Random 80/20,77.7/77.9,85.6/86.3,0.428/0.338
0.80/0.90,Withheld Reynolds,21.8/21.9,32.2/32.1,23.014/65.732
0.85/0.95,Combined G06/Re500,0.0/0.0,0.0/0.0,--/--
0.85/0.95,Random 80/20,83.8/84.8,85.6/86.3,0.428/0.338
0.85/0.95,Withheld Reynolds,30.9/30.9,32.2/32.1,23.014/65.732
