split_name,family,case_uid,split
random80_20,in_distribution,G01_R0001,train
random80_20,in_distribution,G01_R0002,train
random80_20,in_distribution,G01_R0003,train
random80_20,in_distribution,G01_R0004,train
random80_20,in_distribution,G01_R0005,train
random80_20,in_distribution,G01_R0006,train
random80_20,in_distribution,G01_R0007,train
random80_20,in_distribution,G01_R0008,train
random80_20,in_distribution,G01_R0010,train
random80_20,in_distribution,G01_R0011,train
random80_20,in_distribution,G01_R0012,train
random80_20,in_distribution,G01_R0014,train
random80_20,in_distribution,G01_R0016,train
random80_20,in_distribution,G01_R0017,train
random80_20,in_distribution,G01_R0019,train
random80_20,in_distribution,G01_R0021,train
random80_20,in_distribution,G01_R0022,train
random80_20,in_distribution,G01_R0023,train
random80_20,in_distribution,G01_R0025,train
random80_20,in_distribution,G01_R0026,train
random80_20,in_distribution,G01_R0028,train
random80_20,in_distribution,G01_R0029,train
random80_20,in_distribution,G01_R0031,train
random80_20,in_distribution,G01_R0032,train
random80_20,in_distribution,G01_R0033,train
random80_20,in_distribution,G01_R0035,train
random80_20,in_distribution,G01_R0036,train
random80_20,in_distribution,G01_R0037,train
random80_20,in_distribution,G01_R0038,train
random80_20,in_distribution,G01_R0039,train
random80_20,in_distribution,G01_R0040,train
random80_20,in_distribution,G01_R0041,train
random80_20,in_distribution,G01_R0042,train
random80_20,in_distribution,G01_R0043,train
random80_20,in_distribution,G01_R0045,train
random80_20,in_distribution,G01_R0047,train
random80_20,in_distribution,G01_R0048,train
random80_20,in_distribution,G01_R0049,train
random80_20,in_distribution,G01_R0050,train
random80_20,in_distribution,G01_R0051,train
random80_20,in_distribution,G01_R0053,train
random80_20,in_distribution,G01_R0054,train
random80_20,in_distribution,G01_R0055,train
random80_20,in_distribution,G01_R0056,train
random80_20,in_distribution,G01_R0057,train
random80_20,in_distribution,G01_R0058,train
random80_20,in_distribution,G01_R0059,train
random80_20,in_distribution,G01_R0060,train
random80_20,in_distribution,G01_R0061,train
random80_20,in_distribution,G01_R0063,train
random80_20,in_distribution,G01_R0064,train
random80_20,in_distribution,G01_R0065,train
random80_20,in_distribution,G01_R0066,train
random80_20,in_distribution,G01_R0067,train
random80_20,in_distribution,G01_R0068,train
random80_20,in_distribution,G01_R0069,train
random80_20,in_distribution,G01_R0072,train
random80_20,in_distribution,G01_R0073,train
random80_20,in_distribution,G01_R0075,train
random80_20,in_distribution,G01_R0076,train
