split_name,family,n_train,n_test,description
random80_20,in_distribution,3686,922,Fixed random 80/20 split supplied with the dataset.
holdout_Re25,withheld_reynolds,3456,1152,All Re=25 cases are withheld from training.
holdout_Re100,withheld_reynolds,3456,1152,All Re=100 cases are withheld from training.
holdout_Re250,withheld_reynolds,3456,1152,All Re=250 cases are withheld from training.
holdout_Re500,withheld_reynolds,3456,1152,All Re=500 cases are withheld from training.
holdout_G01,withheld_geometry,3840,768,All G01 geometry cases are withheld from training.
holdout_G02,withheld_geometry,3840,768,All G02 geometry cases are withheld from training.
holdout_G03,withheld_geometry,3840,768,All G03 geometry cases are withheld from training.
holdout_G04,withheld_geometry,3840,768,All G04 geometry cases are withheld from training.
holdout_G05,withheld_geometry,3840,768,All G05 geometry cases are withheld from training.
holdout_G06,withheld_geometry,3840,768,All G06 geometry cases are withheld from training.
combined_G06_Re500,combined_shift,2880,192,Training excludes both G06 and Re=500; testing uses their intersection.
